Year,Title,Slug,Hero,Heroine,Director,Music Director,Cinematographer,Editor,Writer,Producer,TMDB ID,Genres
2016,Saptagiri Express,saptagiri-express-2016,Mahesh Achanta,Roshini Prakash,Arun Pawar,Vijai Bulganin,C. Ramprasad,Gautham Raju,Saptagiri,Dr. K. Ravi Kirane,432341,Comedy
2015,Srimanthudu,srimanthudu-2015,Mahesh Babu,Shruti Haasan,Koratala Siva,Devi Sri Prasad,R. Madhi,Kotagiri Venkateswara Rao,Koratala Siva,CV Mohan,353533,Action; Drama
2014,1: Nenokkadine,1-nenokkadine-2014,Mahesh Babu,Kriti Sanon,Sukumar,Devi Sri Prasad,R. Ratnavelu,Shiva Saravanan,Sukumar,Anil Sunkara,249772,Action; Thriller; Mystery
2014,Aagadu,aagadu-2014,Mahesh Babu,Tamannaah Bhatia,Srinu Vaitla,S. Thaman,K. V. Guhan,M. R. Varmaa,Upendra Madhav,Anil Sunkara,294413,Action; Comedy; Drama
2012,Businessman,businessman-2012,Mahesh Babu,Kajal Aggarwal,Puri Jagannadh,S. Thaman,Shyam K. Naidu,S. R. Sekhar,Puri Jagannadh,R. R. Venkat,83889,Action; Crime
2011,Dookudu,dookudu-2011,Mahesh Babu,Samantha,Sreenu Vaitla,S. Thaman,K. V. Guhan,M. R. Varmaa,Gopi Mohan,Gopichand Achanta,80276,Action; Comedy; Thriller
2010,Sivaji,sivaji-2010,Mahesh Babu,Anushka Shetty,S Shankar,Shankar,K. V. Anand,Anthony,Shankar,M. S. Guhan,,Action; Drama; Romance
2010,Khaleja,khaleja-2010,Mahesh Babu,Anushka Shetty,Trivikram Srinivas,Mani Sharma,Yash Bhatt,Sreekar Prasad,Trivikram Srinivas,.mw-parser-output .plainlist ol,56986,Action; Fantasy; Comedy
2007,Athidhi,athidhi-2007,Mahesh Babu,Amrita Rao,Surender Reddy,Mani Sharma,Sameer Reddy,Gautham Raju,Surender Reddy,Ronnie Screwvala,56996,Action; Drama; Thriller; Crime
2007,Athidi,athidi-2007,Mahesh Babu,Amrita Rao,Surender Reddy,Mani Sharma,Sameer Reddy,Gautham Raju,Vakkantham Vamsi,Ramesh Babu,,Action; Drama; Thriller; Crime
2006,Sainikudu,sainikudu-2006,Mahesh Babu,Trisha Krishnan,Gunasekhar,Harris Jayaraj,Balasubramaniem,Sreekar Prasad,Gunasekhar,Swapna Dutt,85824,Action; Drama
2006,Pokiri,pokiri-2006,Mahesh Babu,Ileana D'Cruz,Puri Jagannadh,Mani Sharma,Shyam K. Naidu,Marthand K Venkatesh,Puri Jagannadh,Manjula Ghattamaneni,23381,Action; Thriller; Crime
2005,Okkade,okkade-2005,Mahesh Babu,Bhoomika Chawla,Gunasekhar,Vandemataram Srinivas,Adusumalli Vijay Kumar,Murali Ramayya,Chandra Mahesh,K. Mahendra,,Drama; Romance; Family
2005,Athadu,athadu-2005,Mahesh Babu,Trisha Krishnan,Trivikram Srinivas,Mani Sharma,K. V. Guhan,Sreekar Prasad,Trivikram Srinivas,Murali Mohan,37172,Action; Thriller; Family
2004,Arjun,arjun-2004,Mahesh Babu,Mahesh Babu,Gunasekhar,Mani Sharma,Sekhar V. Joseph,Sreekar Prasad,Gunasekhar,Ramesh Babu Ghattamaneni,80856,Action; Drama; Romance
2004,Naani,naani-2004,Mahesh Babu,Ameesha Patel,S. J. Surya,A.R. Rahman,K. V. Guhan,Sreekar Prasad,S. J. Suryah,Manjula Ghattamaneni,281948,Drama; Romance; Family
2003,Okkadu,okkadu-2003,Mahesh Babu,Bhumika Chawla,Gunasekhar,Mani Sharma,Sekhar V. Joseph,Sreekar Prasad,Gunasekhar,M. S. Raju,94965,Action; Drama; Romance
2003,Nijam,nijam-2003,Mahesh Babu,Rakshita,Teja,R. P. Patnaik,Sameer Reddy,,Teja,Teja,224947,Action; Crime
2002,Bobby,bobby-2002,Mahesh Babu,Aarti Agarwal,Sobhan,Mani Sharma,Venkat R. Prasad,S. Sudhakar Reddy,Sobhan,K. Krishna Mohan Rao,299127,Drama; Romance; Family
2002,Takkari Donga,takkari-donga-2002,Mahesh Babu,Lisa Ray,Jayant Paranji,Mani Sharma,Jayanan Vincent,Marthand K Venkatesh,Jayant Paranji,Jayant Paranji,82727,Western; Adventure; Action
2001,Murari,murari-2001,Mahesh Babu,Sonali Bendre,Pasupuleti Krishna Vamsi,Mani Sharma,C. Ramprasad,Pasupuleti Krishna Vamsi,Pasupuleti Krishna Vamsi,N. Ramalingeswara Rao,85813,Drama; Romance; Thriller; Family
2000,Yuvaraju,yuvaraju-2000,Mahesh Babu,Simran,Y. V. S. Chowdary,Ramana Gogula,Ajayan Vincent,,Chintapalli Ramana,Burugupalli Shiva Rama Krishna,232304,Romance; Drama
1999,Rajakumarudu,rajakumarudu-1999,Mahesh Babu,Preity Zinta,K Raghavendra Rao,Mani Sharma,Ajayan Vincent,Kotagiri Venkateswara Rao,Satyanand Pydipalli,C. Ashwini Dutt,281423,Drama; Romance; Comedy
1999,Raja Kumarudu,raja-kumarudu-1999,Mahesh Babu,Preity Zinta,K. Raghavendra Rao,,,,,,,Drama; Romance; Family
