Title,Year,Director,Hero,Grade,Confidence,Critical Issues,Warning Issues
"Godfather",2022,"Mohan Raja","Chiranjeevi",B,79%,"title; release_date","synopsis"
"Gandhada Gudi",2022,"Amoghavarsha","Puneeth Rajkumar",B,78%,"title",""
"Love Me If You Dare",2024,"Arun Bhimavarapu","Ashish Reddy",B,79%,"title","synopsis"
"19.20.21",2023,"Mansore","B. V. Shrunga",B,77%,"",""
"The Warriorr",2022,"N. Linguswamy","Ram Pothineni",B,78%,"","synopsis"
"Sabari",2024,"Anil Katz","Ganesh Venkatraman",B,78%,"title",""
"Bomma Blockbuster",2022,"Raj Virat","Nandu Vijay Krishna",B,80%,"release_date","synopsis"
"Chor Bazaar",2022,"Jeevan Reddy","Akash Puri",B,78%,"title","synopsis"
"Yatra 2",2024,"Mahi V. Raghav","Jiiva",B,81%,"","synopsis"
"Brahmāstra Part One: Shiva",2022,"Ayan Mukerji","Ranbir Kapoor",B,81%,"release_date",""
"Dhoom Dhaam",2024,"Sai Kishore Macha","Chetan Maddineni",B,78%,"title; release_date","synopsis"
"Chakravyuham",2023,"Chetukuri Madhusudhan","Ajay",B,78%,"title","synopsis"
"Drinker Sai",2024,"Kiran Tirumalasetti","Mahesh Dharma",B,76%,"",""
"Purushothamudu",2024,"Rom Bhimana","Raj Tarun",B,77%,"release_date",""
"LifeStories",2024,"Ujjwal Kashyap","Satya Kethineedi",B,76%,"",""
"Zinga",2022,"Euridilla Scarponi","Enrico Borello",B,76%,"title","synopsis"
"The Running Man",2025,"Edgar Wright","Glen Powell",B,82%,"title",""
"Godse",2022,"Gopi Ganesh","Satyadev Kancharana",B,77%,"release_date",""
"Sinners",2025,"Ryan Coogler","Michael B. Jordan",B,82%,"title",""
"Maaveeran",2023,"Madonne Ashwin","Sivakarthikeyan",B,82%,"title",""
"Happy Ending",2024,"Kowshik Bheemidi","Ajay Ghosh",B,82%,"title; release_date",""
"Dear Uma",2025,"Sai Rajesh Mahadav","Pruthvi Ambaar",B,80%,"release_date",""
"Hunting Season",2025,"Raja Collins","Mel Gibson",B,82%,"title",""
"Virata Parvam",2022,"Venu Udugula","Rana Daggubati",B,77%,"release_date",""
"Bubblegum",2023,"Ravikanth Perepu","Harsha Chemudu",B,78%,"title","synopsis"
"Ghani",2022,"Kiran Korrapati","Varun Tej",B,78%,"title","synopsis"
"Buddy",2024,"Sam Anton","Allu Sirish",B,79%,"title; release_date",""
"Lucky Man",2022,"Nagendra Prasad","Darling Krishna",B,81%,"title",""
"Bhuvana Vijayam",2023,"Yalamanda Charan","Sunil Varma",B,78%,"title","synopsis"
"I Hate You",2024,"Anji Ram","Karthik Raju",B,78%,"title","synopsis"
"Thug Life",2025,"Mani Ratnam","Kamal Haasan",B,82%,"title",""
"Dear Santa",2024,"Bobby Farrelly","Jack Black",B,82%,"title",""
"Akkada Ammayi Ikkada Abbayi",2025,"NitinBharath","Pradeep Machiraju",B,76%,"title","synopsis"
"Tuk Tuk",2025,"Supreeth C Krishna","Harsh Roshan",B,78%,"release_date",""
"K-Ramp",2025,"Jains Nani","Kiran Abbavaram",B,77%,"release_date",""
"Skanda: The Attacker",2023,"Boyapati Srinu","Ram Pothineni",B,78%,"title","synopsis"
"Utsavam",2024,"Arjun Sai","Prakash Raj",B,78%,"title","synopsis"
"The Long Walk",2025,"Francis Lawrence","Cooper Hoffman",B,82%,"title",""
"Atharva",2023,"Mahesh Reddy","Karthik Raj",B,79%,"title; release_date","synopsis"
"Nuremberg",2025,"James Vanderbilt","Russell Crowe",B,82%,"title",""
"Thalakona",2024,"Nagesh Naradasi","Ajay Ghosh",B,79%,"title; release_date","synopsis"
"Maharaja",2024,"Nithilan Saminathan","Vijay Sethupathi",B,82%,"title",""
"Thandel",2025,"Chandoo Mondeti","Naga Chaitanya Akkineni",B,77%,"release_date",""
"Thudarum",2025,"Tharun Moorthy","Mohanlal",B,81%,"release_date",""
"Amaran",2024,"Rajkumar Periasamy","Sivakarthikeyan",B,82%,"title",""
"Bagheera",2024,"Dr Suri","Sriimurali",B,82%,"title",""
"Skanda",2023,"Boyapati Srinu","Ram Pothineni",B,77%,"release_date",""
"Custody",2023,"Venkat Prabhu","Naga Chaitanya Akkineni",B,79%,"title; release_date","synopsis"
"Matka",2024,"Karuna Kumar","Varun Tej",B,77%,"release_date",""
"Mangalavaaram",2023,"Ajay Bhupathi","Ravindra Vijay",B,77%,"release_date",""
"Thank You",2022,"Vikram Kumar","Naga Chaitanya Akkineni",B,78%,"title","synopsis"
"Rangabali",2023,"Pawan Basamsetti","Naga Shaurya",B,77%,"release_date",""
"Brahma Anandam",2025,"RVS Nikhil","Raja Goutham",B,80%,"release_date",""
"Jawan",2023,"Atlee","Shah Rukh Khan",B,82%,"title",""
"Waltair Veerayya",2023,"Bobby Kolli","Chiranjeevi",B,77%,"release_date",""
"Pailam Pilaga",2024,"Anand Gurram","Sai Teja Kalvakota",B,77%,"release_date",""
"Sound of Freedom",2023,"Alejandro Monteverde","Jim Caviezel",B,81%,"release_date",""
"Su from So",2025,"JP Tuminad","Shaneel Gautham",B,77%,"",""
"Bhari Taraganam",2023,"Shekhar Muthyala","Ali Basha",B,80%,"release_date","synopsis"
"12th Fail",2023,"Vidhu Vinod Chopra","Vikrant Massey",B,81%,"release_date",""
"Bhairavam",2025,"Vijay Kanakamedala","Bellamkonda Srinivas",B,78%,"release_date",""
"Bedurulanka 2012",2023,"Clax","Ajay Ghosh",B,80%,"","synopsis"
"Dheera",2024,"Vikranth Srinivas","Mirchi Kiran",B,79%,"title; release_date","synopsis"
"Kishkindhapuri",2025,"Koushik Pegallapati","Bellamkonda Srinivas",B,77%,"release_date",""
"The Naked Gun",2025,"Akiva Schaffer","Liam Neeson",B,82%,"title",""
"Drishyam 2",2022,"Abhishek Pathak","Ajay Devgn",B,82%,"title",""
"Laila",2025,"Ram Narayan","Vishwak Sen",B,78%,"title","synopsis"
"Spider-Man: Across the Spider-Verse",2023,"Justin K. Thompson","Shameik Moore",B,81%,"",""
"Sindhooram",2023,"Shyam Tummalapalli","Siva Balaji",B,78%,"title","synopsis"
"The Trial",2023,"Raam Ganni","Spandana Palli",B,75%,"title; release_date","synopsis"
"Mark Antony",2023,"Adhik Ravichandran","Vishal Krishna",B,82%,"title",""
"War 2",2025,"Ayan Mukerji","N.T. Rama Rao Jr.",B,82%,"title",""
"Rakshana",2024,"Prandeep Thakore","Sivannarayana Naripeddi",B,78%,"title","synopsis"
"Ramam Raghavam",2025,"Dhanraj","Samuthirakani",B,81%,"release_date",""
"Once Upon a Studio",2023,"Dan Abraham","Chris Diamantopoulos",B,81%,"",""
"Tantra",2024,"Srinivas Gopisetti","Dhanush Raghumudri",B,80%,"release_date",""
"Radhe Shyam",2022,"Radha Krishna Kumar","Prabhas",B,77%,"release_date",""
"Captain Miller",2024,"Arun Matheswaran","Dhanush",B,81%,"release_date",""
"Oppenheimer",2023,"Christopher Nolan","Cillian Murphy",B,82%,"title; release_date",""
"Suvarna Sundari",2023,"M. S. N. Surya","Sai Kumar",B,78%,"title","synopsis"
"F1",2025,"Joseph Kosinski","Brad Pitt",B,82%,"title",""
"Pathaan",2023,"Siddharth Anand","Shah Rukh Khan",B,82%,"title",""
"Kalyanam Kamaneeyam",2023,"Anil kumar Aalla","Santosh Shoban",B,78%,"title","synopsis"
"Ustaad",2023,"Phanideep","Sri Simha",B,78%,"title","synopsis"
"Dunki",2023,"Rajkumar Hirani","Shah Rukh Khan",B,82%,"title",""
"Dude",2025,"Keerthiswaran","Pradeep Ranganathan",B,82%,"title",""
"Golam",2024,"Samjad P S","Ranjith Sajeev",B,82%,"title",""
"Dada",2023,"Ganesh K. Babu","Kavin Raj",B,82%,"title",""
"Aa Okkati Adakku",2024,"Malli Ankam","Allari Naresh",B,78%,"title","synopsis"
"Bhola Shankar",2023,"Meher Ramesh","Chiranjeevi",B,78%,"","synopsis"
"Premadesam",2023,"Srikanth Siddham","Thrigun",B,80%,"release_date","synopsis"
"Hunt",2023,"Mahesh Surapaneni","Sudheer Babu",B,80%,"title","synopsis"
"Bhagavanth Kesari",2023,"Anil Ravipudi","Nandamuri Balakrishna",B,77%,"release_date",""
"Kranti",2023,"V Harikrishna","Darshan Thoogudeepa Srinivas",B,82%,"title",""
"Usha Parinayam",2024,"K. Vijaya Bhaskar","Vennela Kishore",B,82%,"title; release_date","synopsis"
"Vidhi",2023,"Srikanth Ranganathan","Rohit Nanda",B,78%,"title","synopsis"
"Simón",2023,"Diego Vincentini","Christian McGaffney",B,82%,"title",""
"Ugram",2023,"Vijay Kanakamedala","Allari Naresh",B,78%,"title","synopsis"
"Good Night",2023,"Vinayak Chandrasekaran","Manikandan",B,82%,"title",""
"Karna",2023,"Juan Pablo Félix","Alfredo Castro",B,78%,"title","synopsis"
"Bhimaa",2024,"A. Harsha","Gopichand",B,80%,"release_date",""
"High Rollers",2025,"Randall Emmett","John Travolta",B,82%,"title",""
"Anveshi",2023,"V. J. Khanna","Vijay Dharan Datla",B,66%,"","synopsis"
"Krishnamma",2024,"V. V. Gopalakrishna","Satyadev Kancharana",B,77%,"release_date",""
"Dhamaka",2022,"Trinadha Rao Nakkina","Ravi Teja",B,78%,"title","synopsis"
"Liger",2022,"Puri Jagannadh","Vijay Deverakonda",B,77%,"release_date",""
"Cobra",2022,"R. Ajay Gnanamuthu","Vikram",B,82%,"title",""
"Arjun S/O Vyjayanthi",2025,"Pradeep Chilukuri","Nandamuri Kalyan Ram",B,77%,"",""
"Raju Gari Ammayi Naidu Gari Abbayi",2024,"Satya Raj","Ravi Teja Nunna",B,68%,"release_date",""
"Kismat",2024,"Srinath Badineni","Abhinav Gomatam",B,78%,"title","synopsis"
"EVOL",2024,"Ram Yogi Velagapudi","Shiva Ramachandravarapu",B,79%,"title; release_date","synopsis"
"Gangster Gangaraju",2022,"Eeshaan Surya","Charandeep",B,77%,"release_date",""
"Kantara",2022,"Rishab Shetty","Rishab Shetty",B,82%,"title",""
"Janaka Aithe Ganaka",2024,"Sandeep Reddy Bandla","Suhas",B,78%,"release_date",""
"Khiladi",2022,"Ramesh Varma","Ravi Teja",B,79%,"title; release_date","synopsis"
"Anaconda",2025,"Tom Gormican","Paul Rudd",B,82%,"title",""
"Darling",2024,"Aswin Raam","Priyadarshi Pullikonda",B,82%,"title; release_date","synopsis"
"Operation Valentine",2024,"Shakti Pratap Singh Hada","Varun Tej",B,77%,"release_date",""
"How to Train Your Dragon",2025,"Dean DeBlois","Mason Thames",B,82%,"title",""
"Superman",2025,"James Gunn","David Corenswet",B,82%,"title",""
"Love Today",2022,"Pradeep Ranganathan","Pradeep Ranganathan",B,82%,"title",""
"Aachar & Co",2023,"Sindhu Sreenivasa Murthy","Sindhu Sreenivasa Murthy",C,81%,"",""
"Ballerina",2025,"Len Wiseman","Ana de Armas",C,82%,"title",""
"Natudu",,"Prasad","Kavya Shetty",C,76%,"",""
"Thunderbolts*",2025,"Jake Schreier","Florence Pugh",C,81%,"",""
"Thammudu",2025,"Venu Sriram","Nithiin",C,79%,"title; release_date","synopsis"
"Mowgli",2025,"Sandeep Raj","Roshan Kanakala",C,79%,"title; release_date","synopsis"
"Ponton's Heart",2025,"Senad Šahmanović","Marija Labudović",C,77%,"",""
"Kingdom",2025,"Poppy Bullard","Vijay Deverakonda",C,78%,"title; release_date","synopsis"
"Regretting You",2025,"Josh Boone","Allison Williams",C,81%,"",""
"Telusu Kada",2025,"Neeraja Kona","Siddhu Jonnalagadda",C,78%,"release_date",""
"Lokah Chapter 1: Chandra",2025,"Dominic Arun","Kalyani Priyadarshan",C,81%,"",""
"Final Destination Bloodlines",2025,"Adam B. Stein","Kaitlyn Santa Juana",C,81%,"",""
"KPop Demon Hunters",2025,"Chris Appelhans","Arden Cho",C,83%,"",""
"Pink Floyd: Live at Pompeii",2025,"Adrian Maben","Roger Waters",C,77%,"",""
"Sarangapani Jathakam",2025,"Mohana Krishna Indraganti","Priyadarshi Pullikonda",C,78%,"release_date",""
"Shashtipoorthi",2025,"Pavan Prabha","Rajendra Prasad",C,75%,"",""
"The Girlfriend",2025,"Rahul Ravindran","Rashmika Mandanna",C,79%,"title; release_date","synopsis"
"Arjun S/o Vyjayanthi",2025,"Pradeep Chilukuri","Nandamuri Kalyan Ram",C,76%,"",""
"The Housemaid",2025,"Paul Feig","Sydney Sweeney",C,82%,"title",""
"Bugonia",2025,"Yorgos Lanthimos","Emma Stone",C,81%,"",""
"Wicked: For Good",2025,"Jon M. Chu","Cynthia Erivo",C,81%,"",""
"Please Don't Feed the Children",2025,"Destry Allyn Spielberg","Michelle Dockery",C,81%,"",""
"Sankranthiki Vasthunam",2025,"Anil Ravipudi","Daggubati Venkatesh",C,77%,"release_date",""
"Uppu Kappurambu",2025,"Ani I. V. Sasi","Suhas",C,81%,"release_date",""
"Maa",2025,"Vishal Furia","Kajol",C,82%,"title",""
"Lilo & Stitch",2025,"Dean Fleischer Camp","Maia Kealoha",C,82%,"title",""
"Madharaasi",2025,"A. R. Murugadoss","Sivakarthikeyan",C,81%,"",""
"Eternity",2025,"David Freyne","Elizabeth Olsen",C,82%,"title",""
"8 Vasantalu",2025,"Phanindra Narsetti","Ananthika Sanilkumar",C,77%,"",""
"Odela 2",2025,"Ashok Teja","Tamannaah Bhatia",C,80%,"",""
"Die My Love",2025,"Lynne Ramsay","Jennifer Lawrence",C,81%,"",""
"Little Hearts",2025,"Sai Marthand","Mouli",C,78%,"title","synopsis"
"Goodbye June",2025,"Kate Winslet","Helen Mirren",C,81%,"",""
"Dhoom Dhaam",2025,"Rishab Seth","Yami Gautam Dhar",C,82%,"title; release_date",""
"Hari Hara Veera Mallu",2025,"Jyothi Krishna","Pawan Kalyan",C,77%,"release_date",""
"Wildcat",2025,"James Nunn","Kate Beckinsale",C,82%,"title",""
"Good Boy",2025,"Ben Leonberg","Shane Jensen",C,81%,"",""
"Ocean With David Attenborough",2025,"Colin Butfield","David Attenborough",C,79%,"",""
"Predator: Badlands",2025,"Dan Trachtenberg","Elle Fanning",C,81%,"",""
"Weapons",2025,"Zach Cregger","Julia Garner",C,82%,"title",""
"Jurassic World Rebirth",2025,"Gareth Edwards","Scarlett Johansson",C,81%,"",""
"Mirai",2025,"Karthik Ghattamaneni","Teja Sajja",C,78%,"title","synopsis"
"Arjun Son of Vyjayanthi",2025,"Pradeep Chilukuri","Nandamuri Kalyan Ram",C,76%,"",""
"Predator: Killer of Killers",2025,"Dan Trachtenberg","Lindsay LaVanchy",C,81%,"",""
"Fackham Hall",2025,"Jim O'Hanlon","Thomasin McKenzie",C,81%,"",""
"The Wild Robot",2024,"Chris Sanders","Lupita Nyong'o",C,83%,"",""
"Elio",2025,"Madeline Sharafian","Yonas Kibreab",C,82%,"title",""
"Zootopia 2",2025,"Jared Bush","Ginnifer Goodwin",C,81%,"",""
"Dear Nanna",2024,"Anji Saladhi","Chaitanya Rao",C,76%,"",""
"Love Me",2024,"Arun Bhimavarapu","Kristen Stewart",C,79%,"title; release_date","synopsis"
"Junior",2025,"Radhakrishna Reddy","Kireeti Reddy",C,66%,"title","synopsis"
"Good Bad Ugly",2025,"Adhik Ravichandran","Ajith Kumar",C,81%,"",""
"The Way to the Heart",2024,"Wendy Ord","Meghan Heffern",C,81%,"",""
"Aham Reboot",2024,"Prasanth Sagar","Sumanth",C,72%,"",""
"Lost Ladies",2024,"Kiran Rao","Nitanshi Goel",C,81%,"",""
"Transformers One",2024,"Josh Cooley","Chris Hemsworth",C,81%,"",""
"Ground",2024,"Aakash Bikki","Aakash Bikki",C,66%,"",""
"Do Patti",2024,"Shashanka Chaturvedi","Kriti Sanon",C,81%,"release_date",""
"Sarangadhariya",2024,"Padmarao Abbisetti","Raja Raveendar",C,72%,"",""
"Crew",2024,"Rajesh Krishnan","Tabu",C,81%,"",""
"Bhoothaddam Bhaskar Narayana",2024,"Purushotham Raaj","Shiva Kandukuri",C,77%,"",""
"Bhamakalapam 2",2024,"Abhimanyu Tadimeti","Priyamani",C,76%,"",""
"Make a Wish",2024,"Sandhya Bayireddy","Kiran Kasturi",C,72%,"",""
"Cabrini",2024,"Alejandro Monteverde","Cristiana Dell'Anna",C,82%,"title",""
"Crime Reel",2024,"Dadi Lokesh","Ashok Reddy",C,68%,"",""
"Sheeshmahal",2024,"Camp Sasi","Sai",C,76%,"",""
"Palik",2024,"Neil Burger","Ravula Ramesh Creations",C,76%,"",""
"Double Engine",2024,"Camp Sasi","Pawan Ramesh",C,79%,"title; release_date","synopsis"
"Soul",2024,"Pete Docter","Jamie Foxx",C,81%,"",""
"Martin",2024,"A P Arjun","Dhruva Sarja",C,82%,"title",""
"Gabriel's Rapture: Part III",2022,"Tosca Musk","Melanie Zanetti",C,81%,"",""
"Gaami",2024,"Vidyadhar Kagita","Vishwak Sen",C,78%,"release_date",""
"Chalaname Chitram",2024,"Nagaraj Janagam","Srinu Rasuri",C,70%,"",""
"Aarambham",2024,"Ajay Nag","Mohan Bhagath",C,78%,"title","synopsis"
"Maharaj",2024,"Siddharth P. Malhotra","Junaid Khan",C,82%,"title; release_date","synopsis"
"Prasanna Vadanam",2024,"Arjun Y.K.","Suhas",C,78%,"release_date",""
"Big Brother",2024,"Subbarao Gosangi","Siva Kantamaneni",C,67%,"",""
"Average Student Nani",2024,"Pawan Kumar Kothuri","Sneha Malviya",C,77%,"",""
"Sector 36",2024,"Aditya Nimbalkar","Vikrant Massey",C,81%,"",""
"Saindhav",2024,"Sailesh Kolanu","Daggubati Venkatesh",C,76%,"",""
"Satyabhama",2024,"Suman Chikkala","Kajal Aggarwal",C,78%,"title","synopsis"
"Maa Nanna Superhero",2024,"Abhilash Reddy","Sudheer Babu",C,77%,"",""
"Zebra",2024,"Eashvar Karthic","Satyadev Kancharana",C,81%,"title; release_date","synopsis"
"All We Imagine as Light",2024,"Payal Kapadia","Kani Kusruti",C,81%,"",""
"RRR: Behind & Beyond",2024,"S. S. Rajamouli","N.T. Rama Rao Jr.",C,80%,"",""
"Eagle",2024,"Karthik Ghattamaneni","Ravi Teja",C,79%,"title; release_date","synopsis"
"The Forge",2024,"Alex Kendrick","Aspen Kennedy Wilson",C,82%,"title; release_date",""
"Market Mahalakshmi",2024,"V. S. Mukkhesh","Parvateesam",C,75%,"",""
"Simbaa",2024,"Murali Manohar Reddy","Jagapathi Babu",C,77%,"release_date",""
"Young Woman and the Sea",2024,"Joachim Rønning","Daisy Ridley",C,81%,"",""
"Shaitaan",2024,"Vikas Bahl","Ajay Devgn",C,82%,"title",""
"Aay",2024,"Anji K Maniputhra","Narne Nithin",C,78%,"release_date",""
"1134",2024,"Ssharadh Chandra","Gangadhar Reddy",C,72%,"",""
"Sookshmadarshini",2024,"MC Jithin","Nazriya Nazim",C,81%,"",""
"Aattam",2024,"Anand Ekarshi","Zarin Shihab",C,81%,"",""
"Lucky Baskhar",2024,"Venky Atluri","Dulquer Salmaan",C,78%,"release_date",""
"Tenant",2024,"Y. Yugandhar","Satyam Rajesh",C,78%,"title","synopsis"
"Wicked",2024,"Jon M. Chu","Cynthia Erivo",C,82%,"title",""
"The Birthday Boy",2024,"Whiskey","Ravi Krishna",C,76%,"",""
"Anthima Theerpu",2024,"A. Abhiramu","Sai Dhanshika",C,78%,"title","synopsis"
"Barbie",2023,"Greta Gerwig","Margot Robbie",C,82%,"title",""
"MaXXXine",2024,"Ti West","Mia Goth",C,81%,"",""
"Rush",2024,"Sathish Poloju","Daisy Bopanna",C,76%,"title","synopsis"
"Sarkaaru Noukari",2024,"Shekar Ganganamoni","Akash Goparaju",C,77%,"",""
"Naa Saami Ranga",2024,"Vijay Binni","Akkineni Nagarjuna",C,76%,"",""
"O Saathiya",2023,"Divya Bhavana","Aryan Gowra",C,80%,"release_date","synopsis"
"Red, White & Royal Blue",2023,"Matthew López","Taylor Zakhar Perez",C,81%,"release_date",""
"Chor Nikal Ke Bhaga",2023,"Ajay Singh","Yami Gautam Dhar",C,81%,"",""
"TAYLOR SWIFT | THE ERAS TOUR",2023,"Sam Wrench","Taylor Swift",C,81%,"",""
"Jaane Jaan",2023,"Sujoy Ghosh","Kareena Kapoor Khan",C,82%,"title",""
"Antham Kadidi Aarambam",2023,"Vijaya Nirmala","Krishna",C,70%,"",""
"¿Quieres ser mi hijo?",2023,"Ihtzi Hurtado","Ludwika Paleta",C,81%,"",""
"Tantiram",2023,"Muthyala Meher Deepak","Srikanth Gurram",C,76%,"",""
"Balagam",2023,"Venu","Priyadarshi Pullikonda",C,78%,"title","synopsis"
"Thriller 40",2023,"Nelson George","Michael Jackson",C,82%,"title",""
"Unstoppable",2023,"Diamond Ratnababu","Vj Sunny",C,79%,"title","synopsis"
"Hostel Hudugaru Bekagiddare",2023,"Nithin Krishnamurthy","Prajwal B. P.",C,81%,"",""
"Asalu",2023,"Uday","Ravi Babu",C,76%,"",""
"Thathsama Thathbhava",2023,"Vishal Saketh","Prajwal Devaraj",C,74%,"",""
"Vaathi",2023,"Venky Atluri","Dhanush",C,81%,"",""
"Vimanam",2023,"Siva Prasad Yanala","Samuthirakani",C,79%,"title; release_date","synopsis"
"Peddha Kapu - 1",2023,"Srikanth Addala","Virat Karrna",C,77%,"",""
"Kabzaa",2023,"R Chandru","Upendra",C,82%,"title",""
"Malli Pelli",2023,"M. S. Raju","Naresh",C,79%,"title; release_date","synopsis"
"Baby",2023,"Damien Chazelle","Diego Calva",C,79%,"title; release_date","synopsis"
"Amigos",2023,"Rajendra Reddy","Nandamuri Kalyan Ram",C,77%,"title","synopsis"
"Hi Nanna",2023,"Shouryuv","Nani",C,78%,"release_date",""
"Rangamarthanda",2023,"Pasupuleti Krishna Vamsi","Prakash Raj",C,78%,"release_date",""
"Ghost",2023,"Mg Srinivas","Shiva Rajkumar",C,82%,"title; release_date","synopsis"
"Kushi",2023,"Shiva Nirvana","Vijay Deverakonda",C,79%,"title; release_date","synopsis"
"Samajavaragamana",2023,"Ram Abbaraju","Sree Vishnu",C,78%,"release_date",""
"Darlings",2022,"Jasmeet K Reen","Alia Bhatt",C,81%,"",""
"Thunivu",2023,"H. Vinoth","Ajith Kumar",C,81%,"",""
"Viduthalai: Part I",2023,"Vetrimaaran","Soori",C,81%,"",""
"Salute",2022,"Rosshan Andrrews","Dulquer Salmaan",C,81%,"",""
"Aadikeshava",2023,"Srikanth N Reddy","Panja Vaisshnav Tej",C,78%,"release_date",""
"Swathi Muthyam",2022,"Lakshman K Krishna","Bellamkonda Ganesh",C,78%,"title","synopsis"
"The Boy, the Mole, the Fox and the Horse",2022,"Peter Baynton","Jude Coward Nicoll",C,77%,"release_date",""
"Gangubai Kathiawadi",2022,"Sanjay Leela Bhansali","Alia Bhatt",C,81%,"release_date",""
"Bimbisara",2022,"Malladi Vassishta","Nandamuri Kalyan Ram",C,77%,"release_date",""
"Tees Maar Khan",2022,"Kalyanji Gogana","Aadi Saikumar",C,79%,"title","synopsis"
"Mangalyam",2022,"Rasool Ellore","Rohit",C,76%,"title","synopsis"
"Son of India",2022,"Diamond Ratnababu","Mohan Babu",C,79%,"title","synopsis"
"Gatta Kusthi",2022,"Chella Ayyavu","Aishwarya Lekshmi",C,81%,"",""
"Gabriel's Rapture: Part II",2022,"Tosca Musk","Melanie Zanetti",C,81%,"",""
"F3: Fun and Frustration",2022,"Anil Ravipudi","Daggubati Venkatesh",C,77%,"",""
"Odela Railway Station",2022,"Ashok Teja","Hebah Patel",C,77%,"",""
"Madhi",2022,"Naga Dhanush","Sreeram Nimmala",C,74%,"title","synopsis"
"Dr. 56",2022,"Rajesh Anandaleela","Priyamani",C,81%,"",""
"Pratibimbalu",2022,"K. S. Prakash Rao","Nageshwara Rao Akkineni",C,68%,"",""
"Attack",2022,"Lakshya Raj Anand","John Abraham",C,82%,"title",""
"Lucky Lakshman",2022,"AR Abhi","Syed Sohel Ryan",C,76%,"",""
"Bhamakalapam",2022,"Abhimanyu Tadimeti","John Vijay",C,78%,"title","synopsis"
"James",2022,"Chethan Kumar","Puneeth Rajkumar",C,82%,"title",""
"Gargi",2022,"Gautham Ramachandran","Sai Pallavi",C,82%,"title",""
"#69 Samskar Colony",2022,"Sunil Kumar Reddy","Ester Noronha",C,80%,"",""
"A Thursday",2022,"Behzad Khambata","Yami Gautam Dhar",C,81%,"",""
"Mahaan",2022,"Karthik Subbaraj","Vikram",C,82%,"title",""
"Bangarraju",2022,"Kalyan Krishna","Akkineni Nagarjuna",C,76%,"",""
"Bhala Thandanana",2022,"Chaitanya Dantuluri","Sree Vishnu",C,78%,"release_date",""
"Neetho",2022,"Balu Sharma","Aberaam Varma",C,78%,"title","synopsis"
"Purple Hearts",2022,"Elizabeth Allen Rosenbaum","Sofia Carson",C,82%,"title",""
"Kerosene",2022,"Dhruva","Dhruva",C,71%,"release_date",""
"Anukoni Prayanam",2022,"Venkatesh Pediredla","Rajendra Prasad",C,78%,"release_date",""
"Jayamma Panchayathi",2022,"Vijay Kumar Kalivarapu","Devi Prasad",C,78%,"release_date",""
"Black",2022,"Prïncia Car","Aadi Saikumar",C,65%,"title; release_date","synopsis"
"Vikram",2022,"Lokesh Kanagaraj","Kamal Haasan",C,82%,"title; release_date",""
"Kinnerasani",2022,"Ramana Teja","Kalyaan Dhev",C,78%,"title","synopsis"
"Sita Ramam",2022,"Hanu Raghavapudi","Dulquer Salmaan",C,78%,"release_date",""
"Jaya Jaya Jaya Jaya Hey",2022,"Vipin Das","Darshana Rajendran",C,81%,"",""
"Ammu",2022,"Sergio Leone","Robert De Niro",C,79%,"title; release_date","synopsis"
"Top Gear",2022,"K. Shashikanth","Adi Saikumar",C,82%,"title; release_date","synopsis"
"The Ghost",2022,"Praveen Sattaru","Akkineni Nagarjuna",C,77%,"title","synopsis"
"Sardar",2022,"P S Mithran","Karthi",C,82%,"title",""
