Title	Year	Slug	Reason	Current URL	Correct URL	Page URL
Astulu Anthastulu	1969	astulu-anthastulu-1969	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/commons/d/de/Vanisri.jpg	N/A	http://localhost:3000/movies/astulu-anthastulu-1969
Pachhani Samsaram	1970	pachhani-samsaram-1970	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/commons/d/de/Vanisri.jpg	N/A	http://localhost:3000/movies/pachhani-samsaram-1970
Master Kiladi	1971	master-kiladi-1971	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/commons/4/47/Sudharani_%28Kannada_film_actress%29_%281%29.jpg	N/A	http://localhost:3000/movies/master-kiladi-1971
Sri Krishnanjaneya Yuddham	1972	sri-krishnanjaneya-yuddham-1972	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/en/2/2e/Sri_Krishnanjaneya_Yuddham.jpg	N/A	http://localhost:3000/movies/sri-krishnanjaneya-yuddham-1972
Marapurani Talli	1972	marapurani-talli-1972	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/commons/d/de/Vanisri.jpg	N/A	http://localhost:3000/movies/marapurani-talli-1972
Adapillala Tandri	1974	adapillala-tandri-1974	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Uppalapati_Krishnam_Raju.jpg/500px-Uppalapati_Krishnam_Raju.jpg	N/A	http://localhost:3000/movies/adapillala-tandri-1974
Gajula Kishtayya	1975	gajula-kishtayya-1975	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/commons/8/84/Zarina_Wahab_at_the_Stardust_Awards_2016_%2801%29_%28cropped%29.jpg	N/A	http://localhost:3000/movies/gajula-kishtayya-1975
Zamindarugari Ammayi	1975	zamindarugari-ammayi-1975	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/commons/b/ba/Actor-ranganath.jpg	N/A	http://localhost:3000/movies/zamindarugari-ammayi-1975
Sati Savitri	1978	sati-savitri-1978	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Sati_Savitri_%281978%29.jpg/328px-Sati_Savitri_%281978%29.jpg	N/A	http://localhost:3000/movies/sati-savitri-1978
ViyyalavariKayyalu	1979	viyyalavarikayyalu-1979	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Kausalya_actress.jpg/500px-Kausalya_actress.jpg	N/A	http://localhost:3000/movies/viyyalavarikayyalu-1979
Allari Bava	1980	allari-bava-1980	Filename matches heroine name: Jaya Prada	https://upload.wikimedia.org/wikipedia/commons/7/7b/Jaya_Prada_graces_Perfect_Pati_TV_serial_launch_%2803%29.jpg	N/A	http://localhost:3000/movies/allari-bava-1980
Kondaveeti Simham	1981	kondaveeti-simham-1981	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/commons/0/08/Telugu_Vari_Jnapakam_NTR_as_police_officer_in_movie_Kondaveeti_Simham.jpg	N/A	http://localhost:3000/movies/kondaveeti-simham-1981
Swapna	1981	swapna-1981	Filename matches heroine name: Swapna	https://upload.wikimedia.org/wikipedia/commons/1/13/Swapna_Dutt_by_Gage_Skidmore.jpg	N/A	http://localhost:3000/movies/swapna-1981
Nayudu gari Abbai	1981	nayudu-gari-abbai-1981	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Actress_Ambika_%28cropped%29.JPG/500px-Actress_Ambika_%28cropped%29.JPG	N/A	http://localhost:3000/movies/nayudu-gari-abbai-1981
Doctor Cine Actor	1982	doctor-cine-actor-1982	Wikipedia Commons URL contains actor/actress name	https://upload.wikimedia.org/wikipedia/en/2/27/Doctor_Cine_Actor_poster.jpg	N/A	http://localhost:3000/movies/doctor-cine-actor-1982
