Year	Title	Slug	Hero	Heroine	Director	Music Director	Cinematographer	Editor	Writer	Producer	TMDB ID	Genres
2014	Race Gurram	race-gurram-2014	Allu Arjun	Shruti Haasan	Surender Reddy	S. Thaman	Manoj Paramahamsa	Gautham Raju	Vakkantham Vamsi	Nallamalapu Srinivas	262227	Comedy; Action
2013	Iddarammayilatho	iddarammayilatho-2013	Allu Arjun	Amala Paul	Puri Jagannadh	Devi Sri Prasad	Amol Rathod	S. R. Sekhar	Puri Jagannadh	Bandla Ganesh	197999	Action; Romance; Drama
2013	Gouravam	gouravam-2013	Allu Sirish	Yami Gautam Dhar	Radha Mohan	S. Thaman	Preetha Jayaraman	I J Alen	Radha Mohan	Prakash Raj	185787	Drama; Family
2012	Julayi	julayi-2012	Allu Arjun	Ileana D'Cruz	Trivikram Srinivas	Devi Sri Prasad	Chota K. Naidu	Prawin Pudi	Trivikram Srinivas	S. Radha Krishna	125835	Action; Comedy; Crime; Family; Drama
2012	Julai	julai-2012	Allu Arjun	Ileana D'Cruz	Trivikram Srinivas	Trivikram Srinivas	Chota K. Naidu	Prawin Pudi	Trivikram Srinivas	S. Radha Krishna	125835	Action; Comedy; Crime; Thriller
2011	Badrinath	badrinath-2011	Allu Arjun	Tamannaah Bhatia	V.V. Vinayak	M.M. Keeravaani	Ravi Varman	Gautham Raju	Chinni Krishna	Allu Aravind	77715	Action; Romance; Drama
2010	Varudu	varudu-2010	Allu Arjun	Arya	Gunasekhar	Mani Sharma	R. D. Rajasekhar	Anthony	Gunasekhar	DVV Danayya	244941	Action; Drama; Romance; Family
2010	Vedam	vedam-2010	Allu Arjun	Anushka Shetty	Radha Krishna Jagarlamudi	M.M. Keeravaani	Gnana Shekar V. S.	Shravan Katikaneni	Radha Krishna Jagarlamudi	Prasad Devineni	97342	Drama; Action
2009	Aarya 2	aarya-2-2009	Allu Arjun	Kajal Aggarwal	Sukumar	Devi Sri Prasad	B. Rajashekar	Marthand K Venkatesh	Sukumar	BVSN Prasad	34763	Action; Comedy; Romance
2008	Parugu	parugu-2008	Allu Arjun	Sheela Kaur	Bhaskar	Mani Sharma	Vijay C Chakravarthy	Marthand K Venkatesh	Bhaskar	Dil Raju	23776	Drama; Romance; Family; Action
2007	Desamuduru	desamuduru-2007	Allu Arjun	Hansika Motwani	Puri Jagannadh	Chakri	Shyam K. Naidu	Marthand K Venkatesh	Puri Jagannadh	DVV Danayya	117058	Action; Drama; Romance
2006	Happy	happy-2006	Allu Arjun	Saki Aibu	A. Karunakaran	Yuvan Shankar Raja			Naoki Urasawa	Allu Aravind	563954	TV Movie; Drama
2004	Aarya	aarya-2004	Allu Arjun	Anuradha Mehta	Sukumar	Devi Sri Prasad	R. Ratnavelu	Marthand K Venkatesh	Sukumar	Dil Raju	80880	Drama; Action; Romance
1995	Bhale Bullodu	bhale-bullodu-1995	Allu Rama Lingaiah	Jagapati Babu	Sarath							Comedy; Drama; Family; Romance
1993	Mutha Mestri	mutha-mestri-1993	Allu Rama Lingaiah	Meena	A. Kodandarami Reddy	Thotakura Somaraju	S. Gopala Reddy	Kotagiri Venkateswara Rao	Venkateswara Rao Paruchuri	Siva Prasad	279121	Action; Drama; Comedy
1984	Bobbili Brahmanna	bobbili-brahmanna-1984	Allu Rama Lingaiah	Sharada	K. Raghavendra Rao	K. Chakravarthy	K. S. Prakash Rao	D. Venkataratnam	K Raghavendra Rao	Uppalapati Surya Narayana Raju	933457	Drama; Romance; Family; Social
1982	Nipputo Chelagaatam	nipputo-chelagaatam-1982	Allu Rama Lingaiah	Jayasudha	Kommineni Seshagiri Rao							Drama; Romance; Family
1981	Ragile Jwala	ragile-jwala-1981	Allu Rama Lingaiah	No Female Lead	K. Raghavendra Rao							Drama; Social; Action
1981	Agni Poolu	agni-poolu-1981	Allu Rama Lingaiah	Jayasudha	K							Drama; Romance; Social
1980	Superman	superman-1980	Allu Rama Lingaiah	No Female Lead	V. Madhusudhan Rao	K. Chakravarthy	K. S. Prasad	D. Venkataratnam	V. Madhusudhan Rao		138720	Action; Drama; Fantasy; Adventure
1980	Sirimalle Navvindi	sirimalle-navvindi-1980	Allu Rama Lingaiah	No Female Lead	Vijaya Nirmala							Drama; Romance; Family
1979	Bangaru Chellelu	bangaru-chellelu-1979	Allu Rama Lingaiah	Jayasudha	B. A. Subba Rao						996002	Drama; Romance; Family
