Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre
2023	Ashtadigbandhanam	Baba PR	Surya Bharath Chandra	Vishika Kota			Drama
2023	Ala Ila Ela	Dwarki Raghav	Shakthi Vasudevan	Poorna			Drama
2023	Harsha Vardhan	Neha Shetty and  MS Rajashekar reddy  are not correct,  director is  -  Unknown	Naveen Chandra	Gauthami			Drama
2022	Lakshman K Krishna	Vijay Krishna Acharya	Sithara Entertainments	Rashmika Mandanna			Action
2022	Bommala Koluvu	Subbu Vedula of Raahu fame and starring himself	himself	Priyanka Sharma			Drama
2022	Abhimanyu	Sabbir Khan	Abhimanyu Dassani	Shirley Setia			Action
2021	Gudaputani	KM Kumar	Sapthagiri	Neha Solanki			Drama
2021	Bhaskar	Bhaskar	Akhil Akkineni	Pooja Hegde			Drama
2021	Sekhar Kammula	Love Story	Naga Chaitanya Akkineni	Sai Pallavi			Romance
2021	Hemanth	Hemant Dhome	Siddharth Chandekar	Sonalee Kulkarni			Drama
2021	Pitta Kathalu	Nag Ashwin	Satyadev	Shruti Haasan			Drama
2021	Family Drama	Meher Tej	Suhas	Teja Kasarapu			Drama
2021	Chandra Sekhar Yeleti	Check	Nithiin	Rakul Preet Singh			Biographical
2021	Asalem Jarigandi	Prem Raj	Shanmukh Jaswanth	Shruti Mehra			Romance
2021	A: Ad Infitium	Ugandhar Muni	Nitin Prasanna	Preeti Asrani			Mystery
2021	Sampath Nandi	Sampath Nandi	Gopichand	Tamannaah Bhatia			Action
2020	Thagite Thandana	Shravan Kumar K.	Rakshit	Ananya			Drama
2020	Anaganaga O Athdhi	Dayal Padmanabhan	Payal Rajput	Samantha			Drama
2020	Utthara	Thirupathi Rao Indraganti	Sriram	Karishma			Drama
2019	Prematho Cheppana	Ravi Varma	Sudheer Babu	Niharika Konidela			Romance
2019	Ranasthalam	Sudheer Varma	Sharwanand	Mehreen Pirzada			Action
2019	Aa Nimisham	Kala Rajesh	Prasad Reddy	Rani Sree			Drama
2019	Sher	Dasari Narayana Rao	Jeetendra	Dimple Kapadia with the music composed by Laxmikant–Pyarelal			Action
2019	Danger Love Story	Shekar Chandra	Khayyum Gaurav	Adia			Romance
2019	Kishore Kumar	Kiran Abbavaram	Siddharth	Divyansha Kaushik			Romance
2019	Hulchul	Glory	Ramarao	Abhinaya			Drama
2019	Srinivasa Reddy	Anil Kumar	Sunil	Kashish Duggal			Comedy
2019	4 Letters	R Raghuraj	Eeshwar	Tuya Chakraborthy			Drama
2018	Masakkali	Nabi Enugubala	Sai Ronak	Shravya			Drama
2018	Juvva	Trikoti Peta	Ranjith Somi	Palak Lalwani in the lead roles			Drama
2018	2 Friends	Srinivas GLB	Suraj Gowda	Sonia Dey Sarkar			Drama
2018	Super Sketch	Ravi Chakravathy	Narsing Yadav	Remya Nambeesan			Thriller
2018	Kanam	A.L. Vijay	Naga Shourya	Sai Pallavi			Drama
2018	Moodu Puvulu Aaru Kayalu	Ramaswamy	Arjun Yagith	Bharath Bandaru			Drama
2018	Karthikeya	Chandoo Mondeti	Nikhil Siddharth	Anupama Parameswaran			Thriller
2018	Howrah Bridge	Revathi	Rahul Ravindran	Manali Rathod			Romance
2018	My Dear Marthandam	Harish K V	Prudhviraj	Rakendu Mouli			Romance
2017	Kiss Kiss Bang Bang	Karthik Medikonda	Kiran	Harshada Kulkarni			Romance
2017	Vikram Kumar	Vikram Kumar	Manoj Manchu	Sonal Chauhan			Drama
2017	Idhi Maa Prema Katha	Ayodhya Karthik	Anchor Ravi	Meghana Lokesh			Romance
2017	Soundarya Rajinikanth	Rajesh Selva	Girish Kumar	Rekha			Drama
2017	Eeshwar	Eeshwar	Dhanraj	Jayathi			Drama
2017	C/o Surya	Suseenthiran	Sundeep Kishan	Mehreen Pirzada			Drama
2017	Nee Preme Naa Pranam	Rajasekhar	Lucky	Sireesha			Romance
2017	Teja	B. N. Reddy	Jai	Anandi			Drama
2017	Rishi	Bhagya Raj	Rishi	Remya Nambeesan			Drama
2017	Dr. Chakravarthy	Sekhar Suri	Richard Rishi	Sonia Agarwal			Drama
2017	Saranam Gacchami	Anil Ravipudi	Varun Tej	Mehreen Pirzada			Romance
2017	Spyder	A. R. Murugadoss	Mahesh Babu	Bharath			Action
2016	Dandakaranyam	R. S. Durai Senthilkumar	Nandu	Elena			Action
2016	Premikudu	Karthik	Maadhav	Yamini Bhaskar			Romance
2016	Karam Dosa	Trivikram Gajulapalli	Shivakumar Ramachandravarapu	No Female Lead			Comedy
2016	Hora Hori	Teja	Dileep	Dhansika			Drama
2016	Banthi Poola Janaki	Nellutla Praveen Chander	Dhanraj	Diksha Panth			Drama
2016	Sri Sri	Sudheer Varma	Sudheer Varma	Regina Cassandra			Romance
2016	Abhinetri	A. L. Vijay	Prabhu Deva	Tamannaah Bhatia			Drama
2016	Manalo Okkadu	R. P. Patnaik, Anita Hassanandani Reddy	Uni Craft Movies	Anita Hassan			Drama
2016	Rojulu Marayi	M Maruthi	Tejus	Krishnudu			Romance
2016	Mana Oori Ramayanam	Prakash Raj	Prakash Raj	Priyamani			Drama
2016	Seesa	Dileep	Srikanth	Namina			Drama
2016	Oka Manasu	Rama Raju	Naga Shourya	Niharika Konidela			Romance
2016	Guppedantha Prema	Vinod Lingala	Sai Ronak	Aishwarya Datta			Romance
2016	Meeku Meere Maaku Meme	Hussain Sha Kiran	Tarun Shetty	Avantika Mishra			Romance
2016	Tulasi Dalam	Hari	Nandamuri Kalyan Ram	Kajal Aggarwal			Action
2016	Malupu	Sathya Prabhas Pinisetty	Aadhi	Nikki Galrani			Romance
2015	Lava Kusa	Jaya	Ravi Teja	Raashi Khanna			Action
2015	Kaki: Sound of Warning	Manon M	Ashok	Meghashree			Thriller
2015	Dagudumootha Dandakor	R. K. Malineni	Rajendra Prasad	Sara Arjun			Drama
2015	Andhra Pori	Raj Mudhiraj	Puri	Ulka Gupta			Drama
2015	Hitudu	Vikram K Kumar	Naga Siddharth	Lavanya Tripathi			Romance
2015	Noothi Lo Kappalu	P. A. Arun Prasad	Rajendra Prasad	Mannara Chopra			Drama
2015	Mirchi Lanti Kurradu	Jayanag	Abijeet	Pragya Jaiswal			Romance
2015	O Manasa	Sahaja Rao	Ajay Manthena	Aparna Bajpai			Drama
2015	Ladies & Gentleman	P.B. Manjunath	Chaitanya Krishna	Aditi Myakal			Drama
2015	Red Alert	Chandra Mahesh	Kaushik	No Female Lead			Action
2015	Anandam Malli Modalaindi	Vamsy	Sumanth	Sanchita Padukone			Romance
2015	Superstar Kidnap	Sushanth Reddy	Aadarsh Balakrishna	Shanvi Srivastava			Thriller
2015	Thanu Nenu	Ram Mohan P	Santosh Shoban	Avika Gor			Romance
2015	Bham Bolenath	Karthik	Navdeep	Naveena			Drama
2015	Gaddam Gang	Santosh Peter Jayakumar	Achyuth Kumar	Ritika Singh			Action
2015	Size Zero	Prakash Kovelamudi	Arya	Anushka Shetty			Drama
2015	Moodu Mukkallo Cheppalante	Madhumita	Rakendu Mouli	Aditi Myakal			Drama
2014	Kshatriya	K. Uday Chandu	Srikanth Meka	Kumkum			Action
2014	Bangaru Kodipetta	Raj Pippalla	Navdeep	Swathi Reddy			Drama
2014	Saheba Subramanyam	Sasikiran	Dileep	Priya Anand			Drama
2014	O Manishi Katha	Radha Krishna	Jagapathi Babu	No Female Lead			Drama
2014	Nuvvala Nenila	Narayana	Varun Sandesh	Poorna			Romance
2014	Galata	Narayan	Srinagar Srinivas	Haripriya			Romance
2014	Ala Ela	Anish Krishna	Rahul Ravindran	Vani Viswanath's daughter, Vimala Raman or  Shweta Basu, but most likely Shweta Basu			Romance
2014	Eduru Leni Alexander	Raja Reddy	Taraka Ratna	Komal Jha			Drama
2014	Vichakshana	B.S. Rao	Harsha	Swathi			Thriller
2014	Manushulatho Jagratha	Govind Varaha	Srikanth	Zara Shah			Drama
2014	God Father	Bheemaneni Srinivasa Rao	Sri Hari	Sharadha			Action
2014	Paathasala	Mahi V Raghav	Nandu	Anu Priya			Drama
2014	Amrutham Chandamamalo	Gunnam Gangaraju	Srinivas Avasarala	Dhanya Balakrishna			Romance
2014	Naa Rakumarudu	K. Bhagyaraj	Naveen Chandra	Ritu Varma			Drama
2014	Hrudayam Ekkadunnadi	Vi Anand	Krishna Madhav	Anusha			Drama
2014	Choosinodiki Choosinanta	Anil Kumar	Sivaji	Nagalakshmi			Romance
2014	Kiraak	Anil Vedula	Anirudh	Hebah Patel			Drama
2014	Yuddham	Bharath	Naga Chaitanya Akkineni	Mamta Mohandas			Action
2014	Ulavacharu Biryani	Prakash Raj	Prakash Raj	Snigdha Akolkar			Drama
2013	Backbench Student	Madhura Sreedhar	Mahat Raghavendra	Pia Bajpai			Drama
2013	Kiss	Adivi Sesh	Adivi Sesh	Priya Banerjee			Romance
2013	Biskett	Anil Ravipudi	Ravi Teja	Mishti			Comedy
2013	Kaalicharan	Sudheer Varma	Vishnu Manchu	Kajal Aggarwal			Action
2013	Chammak Challo	Neelakanta	Varun Sandesh	Sanchita Padukone			Romance
2013	Saradaga Ammayitho	Bhanushankar	Varun Sandesh	Nisha Aggarwal			Romance
2013	Madhumati	Raaj Shreedhar	Vishnupriyan	Udaya Bhanu			Romance
2013	Pusthakamlo Konni Pageelu Missing	Sajid Qureshi	Sree	Supraja			Drama
2013	Jai Sriram	Balaji Napiya	Uday Kiran	Reshmi Menon			Mythological
2013	Sevakudu	Gopichand Malineni	Krishna	No Female Lead			Drama
2013	Pavitra	Janardhana Maharshi	Shriya Saran	No Female Lead			Drama
2013	Romance	Swaroop	Prince	Disha Pandey			Romance
2013	Pelli Pustakam	Ramakrishna Machakanti	Rahul	Niti Taylor			Romance
2013	Mallela Theeram Lo Sirimalle Puvvu	Rama Raju	Sandeep	Sri Divya			Drama
2013	Antaku Mundu Aa Taruvaata	Mohan Krishna Indraganti	Sumanth Ashwin	Eesha			Romance
2013	Moksha	Srikanth Vemula	Sreekanth	Rajeev Saluri			Drama
2013	Satruvu	NSR Prasad	Srikanth	Aksha Pardasany			Action
2013	Toofan	Apurva Lakhia	Ram Charan	Priyanka Chopra			Action
2013	Jabardasth	B. V. Nandini Reddy	Siddharth	Samantha			Drama
2013	Ongole Gittha	Bhaskar	Ram	Kriti Kharbanda			Drama
2013	Dharmavarapu Subramanyam	Jonnalagadda Srinivasa Rao	Nikhil Siddharth	Swati Reddy			Drama
2012	Friends Book	R.P. Patnaik	Nischal	Archana Sharma			Drama
2012	Nuvvekkadunte Nenakkadunta	Subha Selvam	Shweta Prasad in the lead roles directed by Subha Selvam	Shweta Prasad in the lead roles directed by Subha Selvam			Drama
2012	Siva Manasulo Sruthi	Sudheer Babu, Regina Cassandra	Produced by Vega Entertainment	Nandita Raj			Romance
2012	Akash	Raj Kandukuri	Akash	Jyothi			Drama
2012	Midhunam	Tanikella Bharani	Srinagar Srinivas	Bhavana			Romance
2012	Rushi	Raj Madiraju	Ranji	Nikki Galrani			Drama
2012	Disco	Harish Shankar	Nikhil Siddharth	Saranya Mohan			Romance
2012	Tuneega Tuneega	M.S. Raju	Sumanth Ashwin	Rhea Chakraborty			Romance
2012	Chaduvukovali	Venu	Arun	Kalyani			Drama
2012	Nandeeswarudu	Ram Shetty	N.T. Rama Rao Jr.	Sheena Shahabadi			Action
2012	Mem Vayasuku Vacham	Trinadha Rao Nakkina	Tanish	Neeti Taylor			Romance
2011	Nitya Pellikoduku	Devi Prasad	Varun Sandesh	Shriya Saran			Romance
2011	Galli Kurrolu	Lokesh	Sri	Kriti Kharbanda			Drama
2011	Aakasame Haddu	Ravi Charan	Navdeep	Panchi Bora			Drama
2011	Yellow Flowers	Mallikharjun	Chaitanya	Sruthi			Romance
2011	Thimmaraju	Vijay Krishna	Sai Kumar	Bhanu Sri Mehra			Drama
2011	Mugguru	V.N. Aditya	Navdeep	Shraddha Das			Drama
2011	Sanchalanam	Kranthi Kumar	Sai Kiran	Roja			Drama
2011	Lokame Kothaga	Bharath	Navdeep	Aditi Sharma			Drama
2011	Poru Telangana	R. Narayana Murthy	R. Narayana Murthy	No Female Lead			Drama
2011	Dushasana	Posani Krishna Murali	Srikanth	Sanjana			Drama
2011	Chattam	P. Vasu	Jagapathi Babu	Vimala Raman			Action
2011	Rakshana	Ramesh Puppala	Jagapathi Babu	Shraddha Das			Action
2011	Priyudu	Shankar	Varun Sandesh	Preetika Rao			Romance
2011	Cricket Girls & Beer	Adarsh Balakrishna, Surya Tej, Naga Shourya, Sindhu Affan	Vishnu	Soumya			Drama
2011	Mangala	Osho Tulasi Ram	Pradeep Rawat	Charmme Kaur			Drama
2011	Keratam	Gautham Vasudev Menon	Siddharth	Aaanchal Munjal			Romance
2011	Vankaya Fry	Chandu	Sree	Sonia			Drama
2011	Kodipunju	B. V. V. Choudary	Tanish	Sukriti			Drama
2011	Manchivadu	Lakshmi Narayana	Tanish	Bhavana			Drama
2011	Koffi Bar	Geetha Krishna	Shashank	Bianca Desai			Drama
2011	Daggaraga Dooranga	Ravi C Kumar	Sumanth	Vedhika			Drama
2011	Babloo	G. Nageswara Reddy	Manoj Manchu	Shanvi			Comedy
2010	Dasanna	K. Vasu	Srikanth	Sanjana			Drama
2010	Aalasyam Amrutam	Chandra Mahesh	Ananth	Tanish			Drama
2010	Sivaji	S Shankar	Mahesh Babu	Anushka Shetty			Action
2010	Mouna Ragam	Vijay Balaji	Tanish	Madhurima			Romance
2010	Gudu Gudu Gunjam	Veeru Potla	Rajendra Prasad	No Female Lead			Romance
2010	Bhairava Ips	Rao Bharath	Sivaji	Aarta Gupta			Action
2010	Collector Gari Bharya	Collector Gari Bharya	Prakash Raj	Meera Jasmine			Drama
2010	Srimathi Kalyanam	Ravikumar Chakravarthy	Vishnu	Saranya Mohan			Family
2010	Sye Aata	Krishna	Srikanth	Melanie Walker			Romance
2010	Chalaki	M. Mahadev	Sai Ram Shankar	Roma			Drama
2010	Madhanudu	Vijay Bhapineedu	Sunil	Saloni			Drama
2010	Comedy Express	Ravi Varma	Vennela Kishore	Vibha			Comedy
2010	Maro Charitra	Ravi Yadav	Varun Sandesh	Anita Galler			Romance
2010	Rakta Charitra	Ram Gopal Varma	Vivek Oberoi	Radhika Apte			Biographical
2010	Ramdev	Murali	Abhishek	Mythri			Action
2010	Anaganaga Oka Aranyam	V.K. Prakash	Sai Kumar	Sri Ramya			Drama
2010	Raghavendra	Tamil Selvan	Prabhas	Anushka Shetty			Action
2010	Komaram Bheem	Allani Sridhar	Bhoopal Reddy	No Female Lead			Action
2010	Kaluva	Balaji Sakthivel	Sumanth	Kajal Aggarwal			Romance
2010	Sandadi	Jagadish	Raja	Ghazal Thakur			Drama
2010	Inkosaari	Siva Ganesh	Raja	Richa Panai			Drama
2010	Aunty Uncle Nandagopal	Satyam	Srikanth	Meera Jasmine			Drama
2010	Veera Telangana	R. Narayana Murthy	R. Narayana Murthy	No Female Lead			Drama
2010	Young India	Dasari Narayana Rao	Sandeep	Mithuna			Drama
2010	My Name Is Amrutha	Baby Gayathri, Bhanupriya, Bhanuchander	Produced By S Entertainment	Naga Chaitanya's co-star is not well known for this, hence Unknown			Drama
2010	Prema Rajyam	Lakshman	Surya	Meera			Drama
2010	Udatha Udatha Ooch	Mallikharjun	Mallikharjun	No Female Lead			Comedy
2009	Punnami Naagu	A Kodandarami Reddy	Meka Srikanth	Rao Ramesh's daughter, but I am not confident about her name, so: Unknown			Action
2009	Bank	Amruta Arunkumar	Jackie Shroff	Veda Sastry			Crime
2009	Kasko	G. Nageswara Reddy	Vaibhav	Sharmiela Mandre			Romance
2009	Satyameva Jayathe	Siva	Vishal	Saranya Mohan			Action
2009	Manorama	V. Eshwar Reddy	Nishanth	Charmy Kaur			Drama
2009	Current	Surya Pratap	Sushanth	Sneha Ullal			Romance
2009	Malli Malli	Pascal	Srikanth	Shriya Saran			Romance
2009	Pistha	Paruchuri Murali	Nandamuri Kalyan Ram	Shriya Saran			Action
2009	Indumathi	Arjun	Srikanth	Kamna Jethmalani			Drama
2009	Mesthri	Dasari Narayana Rao	Dasari Narayana Rao	Trisha			Drama
2009	Neramu Siksha	Vijaya Nirmala	Krishna	Vijaya Nirmala			Drama
2009	Bumper Offer	Jaya Ravindra	Sai Kumar	Bindu Madhavi			Drama
2009	Evaraina Epudaina	Marthand K Shankar	Varun Sandesh	Veda			Romance
2008	Call Center	G. Nageswara Reddy	Vivek	Swetha			Drama
2008	Idi Sangathi	Chandra Siddhartha	Abbas	Tabu			Drama
2008	Bhadradri	Mallikarjun	Srihari	Gajala			Action
2008	Premabhishekam	S. V. Krishna Reddy	Venu Madhav	Sangeetha			Romance
2008	Ankit, Pallavi & Friends	Hari Yelleti	Nikhil	Megha Burman			Drama
2008	Abbo Aadavallu	T.N. Raju	Karthik	Vanitha Reddy			Drama
2008	Highway	Kovvi Kalya Krishna	Aditya Om	Vedika			Drama
2008	Mallepuvvu	Vasanth	Murali Krishna	Bhumika Chawla			Romance
2008	Premabandham	Siva Nagu	Varun Sandesh	Pavani			Drama
2008	Keka	Teja	Kamal Kamaraju	Anusha			Drama
2008	Mangathaayaru Tiffin Centre	Mumaith Khan, Ali, Shafi	Srikanth	Meka Srikanth's co-star is not clear, hence: Unknown			Drama
2008	Kshudra	Nagul	Priyanka	Ramya Krishnan			Horror
2008	Adivishnu	Srinivasa Rao	Sai Kumar	Nayana			Drama
2008	Gunde Jhallumandi	Madhura Sreedhar	Uday Kiran	Aditi Sharma			Drama
2008	Adhyakshaa	Chandrashekhar Yeleti	Jagapathi Babu	Mallika Kapoor			Drama
2008	Gajibiji	E.V.V. Satyanarayana	Ravi Teja	Shriya Saran			Drama
2008	Veedu Mamoolodu Kadu	Ravi Sarma	Rishi	Gopika			Drama
2008	Konchem Kothaga	Deva Katta	Sandeep Kishan	Vedika			Drama
2008	Aapada Mokkulavaadu	Ram Gopal Varma	Nagendra Babu, Sai Kumar	Ankita			Comedy
2008	Okka Magadu	Yaragudipati Varada	Nandamuri Balakrishna	Anushka Shetty			Action
2008	Ekaloveyudu	K. Ramakrishna	Uday Kiran	Kruti			Romance
2008	Aalayam	Muthyala Subbaiah	Sivaji	Honey Rose			Drama
2008	Donga Sachinollu	Raghu Ram	Siva Balaji	Madhu Sharma			Drama
2007	Pagale Vennela	Vijaya Bhaskar	Ram	Hansika Motwani			Romance
2007	Amma Nanna Lekunte	Y. Ramakrishna	Krishna	No Female Lead			Drama
2007	Bhookailas	Srinivasa Reddy	Venu	Bhuvaneswari			Drama
2007	Classmates	Vijay Yesudas	Srinivas Avasarala	Rashmi			Drama
2007	Veduka	Jitender	Raja	Poonam Bajwa			Drama
2007	Yamagola	Srinivasa Reddy	Sivaji	Mamata Mohandas			Drama
2007	Uppalapati Narayana Rao	Uppalapati Narayana Rao	Venkateswara Rao Atluri	Vishakha Singh			Drama
2007	Brahma - the Creator	Brahma – The Creator	Cherukuri Srinivasa Rao	Trisha			Drama
2007	Hello Premistara	Sharwanand	Santosh	Sheela			Drama
2007	Bhajantrilu	Jayaraj	Sivaji	Raasi			Drama
2007	Sunny	Karan	Nitin	Sneha			Drama
2007	Poramboku	Krishna Vamsi	Navdeep	Ekta Khosla			Drama
2007	Chandrahas	Roja	Srihari	Priyamani			Action
2007	Athidi	Surender Reddy	Mahesh Babu	Amrita Rao			Action
2007	Maharathi	P. Vasu	Srikanth	Vijayashanthi			Action
2007	Notebook	Rajesh Sharma	Rajesh Sharma	Girija Oak			Drama
2006	Sardar Papanna	Pratani Ramakrishna Goud	Krishna	No Female Lead			Drama
2006	Hope	K. Satyanarayana	D. Ramanaidu	Kalyani			Drama
2006	Naayudamma	E.V.V. Satyanarayana	Srikanth	Jyothika			Drama
2006	Thrill	K. Veeru	Venkat	Ruthika			Action
2006	Neeku Naaku	Krishna Vijay	Srikanth	Anushka Shetty			Drama
2006	Manodu	Priyadarshini Ram	Priyadarshini Ram	Radhika Apte			Drama
2006	Shyam Prasad	Ravi Vaarla	Srikanth	Ooha			Drama
2006	Premante Inte	Devakatta	Sumanth				Drama
2006	Nuvve	Veera Shankar	Tarun	Shriya Saran			Drama
2006	Veedhi	Vijaya Bhaskar	Arun	Sindhu Tolani			Drama
2006	Rajababu	Muppalaneni Siva	Rajendra Prasad	Sneha			Drama
2006	Samanyudu	Ravi C Kumar	Jagapathi Babu	Kamna Jethmalani			Drama
2006	Indian Beauty	K. Shanti Kumar	Collin McManus	Sai Kiran			Drama
2006	Abhaddam	Raviraja	Shanvi	Nayana			Drama
2006	Evandoi Srivaru	Sathyam	Srikanth	Vedhika			Drama
2006	Kokila	Vamsy	Siddharth	Kanika			Drama
2006	Raraju	Udayasankar	Gopichand	Meera Jasmine			Action
2006	Valliddari Vayasu Padahare	Bhanu Shankar	Tarun	Devaki			Drama
2006	Aadi Lakshmi	Y.V.S. Chowdary	Srikanth	Sridevi			Drama
2005	Evaru Nenu	Krishna	Krishna	No Female Lead			Drama
2005	Rendella Tharuvatha	K.V.S.S. Sivaprasad	Sriram	Gopika			Drama
2005	Moguds Pellams	Venky	Srikanth	Rakshita			Drama
2005	Evadi Gola Vaadidi	E V V Satyanarayana	Aryan Rajesh	Deepika Chikhalia			Drama
2005	Mr. Errababu	Sivaji, Roma, Nagendra Babu, Sunil, Satyanarayana, Venu Madhav	Sivaji	Genelia D'Souza			Drama
2005	Premikulu	B. Jaya	Yuvaraj	Shanoor Sana			Drama
2005	Nayakudu	Karthik	Sachin	Trisha			Drama
2005	Good Boy	Mohan Krishna	Rohit	Navneet Kaur			Drama
2005	Evadi Gola Vaadidhi	Srikanth Nahatha	Srikanth	Vega Tamotia			Drama
2005	Orey Pandu	Tejas Dhanraj	Sachiin Joshi	S			Drama
2005	Sravanamasam	Posani Krishna Murali	Krishna	Sneha			Drama
2005	Nireekshana	Vikraman	Tarun	Reema Sen			Drama
2005	Oka Oorilo	Rama Rao	Tarun	Renuka Menon			Drama
2005	Youth	Vinayak	Nithin	Sharma			Drama
2005	Okkade	Gunasekhar	Mahesh Babu	Bhoomika Chawla			Drama
2005	Chhatrapati	Srihari Nanu	Prabhas	Aarti Agarwal			Action
2005	Keelu Gurram	Rohit, Baladitya, Nakul, Rajesh, Tanu Roy	Rohit	Baladitya			Drama
2005	786 Khaidi Premakatha	K.S. Nageswara Rao	Sashikanth	Poonam Kaur			Action
2005	Avunanna Kaadanna	Teja	Uday Kiran	Sada			Drama
2005	Ayodhya	Y. V. S. Chowdary	Krishna	Nayantara			Drama
2005	Pellam Pichodu	Jonnavithhula	Rajendra Prasad	Richa Pallod			Drama
2005	Kumkuma	Jyoti Kumar	Sivaji	No Female Lead			Drama
2004	Aaptudu	Rajendra Prasad	Srikanth	Rachel			Drama
2004	Guri	B. Satya	Sumanth	Bhumika Chawla			Drama
2004	Love Today	Satin Devi	Uday Kiran	Priyamani			Drama
2004	Kaasi	Lawrence	Jaggi	Gajala			Drama
2004	Tapana	Tejaswi	Prabhu Deva	No Female Lead			Drama
2004	Satruvu	Suresh Krissna	Vishnu	Anita Hassanandani			Action
2004	Vidyardhi	Balachari	Akash	Aditi Agarwal			Drama
2004	24 Gantalu	D. S. Rao	Krishna	No Female Lead			Drama
2004	Pallakilo Pellikoothuru	Kodi Ramakrishna	Srikanth	Vega Tamotia			Drama
2004	Preminchukunnam Pelliki Randi	Relangi Narasimha Rao	Aditya Om	Rekha Vedavyas			Drama
2004	Satta	Pavan	Srikanth	Nadhiya			Action
2004	Sankharavam	Evv Satyanarayana	Ravi Teja	Anushka Shetty			Drama
2004	Dhavala Satyam	Dhavala Satyam	Dhavala Satyam	No Female Lead			Drama
2004	Puttintiki Ra Chelli	Kodi Ramakrishna	Arjun	Meena			Drama
2004	Letha Manasulu	Srikanth Addala	Srikanth	Gajala			Drama
2004	Madhyanam Hathya	Ram Gopal Varma	Srikanth	Soundarya			Thriller
2004	Swamy	Dharani	Vikram	Asin			Drama
2004	Bhadradri Ramudu	Suresh	Ravi Teja	Anushka Shetty			Drama
2004	Santhi Sandesam	P. Chandrasekhar Reddy	Krishna	No Female Lead			Action
2004	CBI Officer	Shiva	Krishna	No Female Lead			Drama
2004	Kaani	A.M. Burhanuddin	Srikanth	Meera Jasmine			Drama
2004	Seshadri Naidu	D. Prabhakar	Srikanth	Soundarya			Drama
2004	Aithe Enti	Shyam Prasad	Abhishek	Anushka Shetty			Drama
2003	Okato Number Kurraadu	A. Kodandarami Reddy	Taraka Ratna	Rekha Vedavyas			Drama
2003	Hari Villu	B. Narsing Rao	Master Sai Subhakar	Haritha Thota			Action
2003	City	Nagendra	Saikumar	Ankita			Action
2003	Taarak	Balasekaran	Krishna	Sharmili			Drama
2003	Nenu Seetamahalakshmi	Koti	Srikanth	Simran			Drama
2003	Ori Nee Prema Bangaram Kaanu	AVS	Rajesh Krishnan	Sangeetha			Drama
2003	Idi Maa Ashokgadi Love Story	Suresh Krissna	Siva Balaji	Shweta Agarwal			Drama
2003	Chantigadu	B. Gopal	Srikanth	Roja			Drama
2003	Aadanthe Ado Type	E. V. V. Satyanarayana	Sivaji	Aryan Rajesh			Comedy
2003	Abhimanyu	Ravi Yadav	Vishnuvardhan	Ananth Nag's daughter but exact name is Unknown			Drama
2003	Anaganaga O Kurraadu	Karuna Kumar	Rohit	Rekha			Drama
2003	Toli Choopulone	K. Viswanath	Nandamuri Kalyan Ram	Akanksha			Drama
2003	Charminar	G. Nageswara Reddy	Venkat	Abhirami			Drama
2003	Sriramachandrulu	I. Sreekanth	Rajendra Prasad	Rambha			Drama
2003	Vijayam	Singeetam Srinivasa Rao	Ravi Teja	Anushka Shetty			Drama
2003	Fools	Dasari Narayana Rao	Srikanth	Gowri Pandit			Drama
2003	Neeke Manasichaanu	Sreenu Vaitla	Srikanth	Bhavana			Drama
