Year	Title	Director	Hero	Heroine	Music_Director
2006	Sardar Papanna	Pratani Ramakrishna Goud	Krishna	No Female Lead	
2006	Thrill	K. Veeru	Venkat	Ruthika	
2006	Shyam Prasad	Ravi Vaarla	Srikanth	Ooha	
2006	Hanumanthu	Chandra Mahesh	Srihari	K.R. Vijaya	
2006	Abhaddam	Raviraja	Shanvi	Nayana	
2006	Kokila	Vamsi	Siddharth	Kanika	
2006	Kittu	Evv Satyanarayana	Allari Naresh	Gowri Pandit	
2006	Nuvve	Veera Shankar	Tarun	Shriya Saran	
2006	Tathastu	Anubhav Sinha	Jaya Prada	Ameesha Patel	
2006	Asthram	Suresh Krissna	Vishnu	Anushka	
2006	Mercury Pookkal	S. S. Stanley	Srikanth	Meera Jasmine	
2005	Evaru Nenu	Krishna	Krishna	No Female Lead	
2005	Nuvvante Nakishtam	E. V. V. Satyanarayana	Aryan Rajesh	Anuradha Mehta	
2005	Evadi Gola Vadide	E. V. V. Satyanarayana	Brahmanandam	Aryan Rajesh	
2005	Oray Pandu	S. V. Krishna Reddy	Mohan Babu	Bhanupriya	
2005	Gowtam Ssc	P A Arun Prasad	Navdeep	Bhanupriya	
2005	Mahasadhvi Mallamma	Renuka Sharma	Rajendra Prasad	Meena	
2005	Sree	Mitr Chaibancha	Mitr Chaibancha	Petchara Chaowarat	
2004	Glamour	Pieter Kramer	Chris Tates	Linda de Mol	
2004	24 Gantalu	D. S. Rao	Krishna	No Female Lead	
2004	Sorry Naku Pellaindi	Gandhi	Ruthika	Raghu	
2004	Varam	Udayasankar	Srikanth	Asin	
2004	Leelamahal Centre	Suresh	Srikanth	Kalyani	
2004	CBI Officer	Shiva	Krishna	No Female Lead	
2004	Dhavala Satyam	Dhavala Satyam	Dhavala Satyam	No Female Lead	
2004	IPS Jhansi	H. Vasu	Vijayashanti	Vijayashanti	
