#,Year,Title,Slug,Heroine,Director,Music,Cinematographer,Editor,Writer,Producer,Status
"11","2013","Seethamma Vakitlo Sirimalle Chettu","seethamma-vakitlo-sirimalle-chettu-2013","Anjali","Srikanth Addala","Mickey J Meyer","K. V. Guhan","Marthand K. Venkatesh, Kotagiri Venkateswara Rao","Srikanth Addala","Dil Raju",""
"12","2013","Masala","masala-2013","Anjali","K. Vijaya Bhaskar","S. Thaman","Andrew","Gautham Raju","K. Vijaya Bhaskar","Daggubati Suresh Babu",""
"13","2012","Bodyguard","bodyguard-2012","Trisha Krishnan","Gopichand Malineni","S. Thaman","Shyam K. Naidu","Gautham Raju","Gopichand Malineni","Bellamkonda Suresh","Remake of Malayalam hit"
"14","2010","Nagavalli","nagavalli-2010","Anushka Shetty","P. Vasu","Gurukiran","Shyam K. Naidu","Marthand K. Venkatesh","P. Vasu","Bellamkonda Suresh",""
"15","2008","Chintakayala Ravi","chintakayala-ravi-2008","Mamta Mohandas","Yogie","Vishal–Shekhar","Ravindra Babu","A. Sreekar Prasad","Kona Venkat","Nallamalupu Bujji",""
"16","2007","Aadavari Matalaku Arthale Verule","aadavari-matalaku-arthale-verule-2007","Trisha","Selvaraghavan","Yuvan Shankar Raja","Ramji","Anthony","Selvaraghavan","N.V. Prasad, Shanam Naga Ashok Kumar",""
"17","2007","Thulasi","thulasi-2007","Nayanthara","Boyapati Srinu","Devi Sri Prasad","Balamurugan","Marthand K. Venkatesh","Siva Akula","Daggubati Suresh Babu",""
"18","2006","Lakshmi","lakshmi-2006","Nayanthara","V. V. Vinayak","Ramana Gogula","Chota K. Naidu","Gautham Raju","V. V. Vinayak","Nallamalupu Bujji",""
"19","2005","Subash Chandra Bose","subash-chandra-bose-2005","Genelia D'souza","K Raghavendra Rao","Mani Sharma","Ravindra Babu","Kotagiri Venkateswara Rao","Paruchuri Brothers","C. Ashwini Dutt",""
"20","2005","Sankranti","sankranti-2005","Sneha","Muppalaneni Shiva","S.A. Rajkumar","Prasad Murella","Nandamuri Hari","Muppalaneni Shiva","R.B. Choudary",""
"21","2004","Malliswari","malliswari-2004","Katrina Kaif","K. Vijaya Bhaskar","Koti (Songs), Mani Sharma (BGM)","Shyam K. Naidu","Sreekar Prasad","Trivikram Srinivas","D. Suresh Babu","Iconic Romantic Comedy"
"22","2004","Gharshana","gharshana-2004","Asin Thottumkal","Gautham Vasudev Menon","Harris Jayaraj","S. Rajadhurai","Anthony","Gautham Vasudev Menon","G. Sivaraju C. Venkataraju",""
"23","2004","Shivashankar","shivashankar-2004","Soundarya","Kapuganti Rajendra","Ilaiyaraaja","K. S. Hari","Gautham Raju","Paruchuri Brothers","Mohan Babu",""
"24","2003","Vasantam","vasantam-2003","Aarti Agarwal","Vikraman","S.A. Rajkumar","S. Saravanan","Marthand K. Venkatesh","Chintapalli Ramana","N.V. Prasad",""
"25","2002","Gemeni","gemeni-2002","Namitha","Saran","R. P. Patnaik","P.S. Vinod","Suresh Urs","Saran","B. Gurunath",""
"26","2002","Vasu","vasu-2002","Bhumika Chawla","A. Karunakaran","Harris Jayaraj","P.S. Vinod","Marthand K. Venkatesh","A. Karunakaran","K. S. Rama Rao",""
"27","2001","Prematho Raa","prematho-raa-2001","Simran","Udayasankar","Mani Sharma","S. Gopal Reddy","Marthand K. Venkatesh","Udayasankar","T. Trivikrama Rao",""
"28","2001","Nuvvu Naaku Nachav","nuvvu-naaku-nachav-2001","Aarthi Agarwal","K Vijaya Bhaskar","Koti","K. Ravindra Babu","Sreekar Prasad","Trivikram Srinivas","Sravanthi Ravi Kishore","Cult Classic"
"29","2001","Devi Putrudu","devi-putrudu-2001","Soundarya","Kodi Ramakrishna","Mani Sharma","S. Gopal Reddy","K.V. Krishna Reddy","Kodi Ramakrishna","M. S. Raju",""
"30","2000","Manasunna Maaraju","manasunna-maaraju-2000","Laya","Muppalaneni Siva","Vandemataram Srinivas","Muppalaneni Shiva","Nandamuri Hari","Muppalaneni Shiva","DVV Danayya",""
"31","2000","Kalisundam Raa","kalisundam-raa-2000","Simran","Udayasankar","S A Rajkumar","S. Gopal Reddy","Marthand K. Venkatesh","Udayasankar","Daggubati Suresh Babu",""
"32","2000","Jayam Manadera","jayam-manadera-2000","Soundarya","N.Shankar","Vandemataram Srinivas","S. Gopal Reddy","Marthand K. Venkatesh","N. Shankar","Daggubati Suresh Babu",""
"33","1999","Raja","raja-1999","Soundarya","Muppalaneni Shiva","S A Rajkumar","Prasad Murella","Marthand K. Venkatesh","Vikraman","R. B. Choudary",""
"34","1999","Seenu","seenu-1999","Twinkle Khanna","Sasi","Mani Sharma","Shyam K. Naidu","Marthand K. Venkatesh","Sasi","R. B. Choudary",""
"35","1999","Bobbili Vamsam","bobbili-vamsam-1999","Rambha","A. Kodandarami Reddy","M.M. Keeravani","S. Gopal Reddy","Kotagiri Venkateswara Rao","Paruchuri Brothers","V. Doraswamy Raju",""
"36","1998","Premante Ideraa","premante-ideraa-1998","Preity Zinta","Jayant Paranji","Ramana Gogula","Rasool Ellore","Marthand K. Venkatesh","Jayant Paranji, Paruchuri Brothers (Dialogues)","Sivarama Krishna B",""
"37","1998","Ganesh","ganesh-1998","Madhoo","Tirupathi Swamy","Mani Sharma","Balu","Marthand K. Venkatesh","Tirupathi Swamy","Daggubati Suresh Babu",""
"38","1997","Pelli Chesukundam","pelli-chesukundam-1997","Soundarya","Muthyala Subbaiah","Saluri Koteswara Rao","A. Ravindra Babu","Gautham Raju","Bhupati Raja","G. Sivaraju",""
"39","1997","Preminchukundam Raa","preminchukundam-raa-1997","Anjala Zaveri","Jayant Paranji","Mahesh Mahadevan","A. Ravindra Babu","Marthand K. Venkatesh","Deenamani","Siva Rama Krishna B.",""
"40","1997","Chinnabbayi","chinnabbayi-1997","Ramya Krishnan","K. Viswanath","Ilaiyaraaja","P.S. Prakash","G.G. Krishna Rao","K. Viswanath","M. Narasimha Rao",""
"41","1997","Veedevadandi Babu","veedevadandi-babu-1997","Shilpa Shetty","E.V.V. Satyanarayana","Koti","Rajan Kothari","Marthand K. Venkatesh","E.V.V. Satyanarayana","Davuluri Rama Rao",""
"42","1996","Sarada Bullodu","sarada-bullodu-1996","Nagma","Ravi Raja Pinisetty","Saluri Koteswara Rao","A. Ravindra Babu","Marthand K. Venkatesh","Ravi Raja Pinisetty","Trivikrama Rao T.",""
"43","1996","Dharma Chakram","dharma-chakram-1996","Srividya","Suresh Krissna","M. M. Srilekha","P.S. Prakash","Marthand K. Venkatesh","Suresh Krissna","D. Rama Naidu",""
"44","1996","Intlo Illalu Vantintlo Priyuralu","intlo-illalu-vantintlo-priyuralu-1996","Soundarya","E.V.V. Satyanarayana","Saluri Koteswara Rao","Rajan Kothari","K. Ravindra Babu","E.V.V. Satyanarayana","K. L. Narayana",""
"45","1996","Pavithra Bandham","pavithra-bandham-1996","Soundarya","Muthyala Subbaiah","M.M. Keeravaani","V. Jayaram","Marthand K. Venkatesh","Muthyala Subbaiah (Screenplay), Bhupati Raja (Story)","G. Sivaraju",""
"46","1996","Saahasa Veerudu Saagara Kanya","saahasa-veerudu-saagara-kanya-1996","Shilpa Shetty Kundra","K Raghavendra Rao","M.M. Keeravaani","Ajayan Vincent","Marthand K. Venkatesh","Paruchuri Brothers","Burugupalli Shiva Rama Krishna",""
"47","1995","Pokiri Raja","pokiri-raja-1995","Roja","A. Kodandarami Reddy","Saluri Koteswara Rao","S. Gopal Reddy","Marthand K. Venkatesh","Paruchuri Brothers","Venkatrami Reddy",""
"48","1994","Super Police","super-police-1994","Nagma","K. Murali Mohana Rao","A.R. Rahman","S. Gopal Reddy","Kotagiri Venkateswara Rao","V.C. Guhanathan","Daggubati Suresh Babu",""
"49","1993","Abbaigaru","abbaigaru-1993","Meena","E.V.V. Satyanarayana","M.M. Keeravani","Rajan Kothari","Marthand K. Venkatesh","E.V.V. Satyanarayana","M. Narasimha Rao",""
"50","1992","Chinarayudu","chinarayudu-1992","Vijayashanti","B. Gopal","Ilaiyaraaja","V.S.R. Swamy","Kotagiri Venkateswara Rao","B. Gopal","P.R. Prasad",""
"51","1992","Chanti","chanti-1992","Meena","Ravi Raja Pinisetty","Ilaiyaraaja","S. Gopal Reddy","Marthand K. Venkatesh","Ravi Raja Pinisetty","K.S. Rama Rao","Industry Record-Breaker"
"52","1992","Champion","champion-1992","Debora","B. Gopal","Bappi Lahiri","V.S.R. Swamy","Kotagiri Venkateswara Rao","B. Gopal","D. Ramanaidu",""
"53","1992","Chakravyuham","chakravyuham-1992","Gautami","B.V. Ramana","Madhavapeddi Suresh","M.V. Raghu","Shankar","B.V. Ramana","C.H.G. Rama Rao",""
"54","1992","Sundara Kanda","sundara-kanda-1992","Meena, Aparna","K. Raghavendra Rao","M.M. Keeravani","Jayanan Vincent","Kotagiri Venkateswara Rao","K. Bhagyaraj (Story)","K.V.V. Satyanarayana",""
"55","1991","Coolie No. 1","coolie-no-1-1991","Tabu","K Raghavendra Rao","Ilaiyaraaja","S. Gopal Reddy","Kotagiri Venkateswara Rao","K. Raghavendra Rao","Daggubati Suresh Babu",""
"56","1991","Shatruvu","shatruvu-1991","Vijayashanti","Kodi Ramakrishna","Saluri Koteswara Rao","V. Lakshman","V. Lakshman","Kodi Ramakrishna","M. S. Raju",""
"57","1991","Surya IPS","surya-ips-1991","Vijayashanti","A. Kodandarami Reddy","Ilaiyaraaja","V.S.R. Swamy","Kotagiri Venkateswara Rao","A. Kodandarami Reddy","T. Subbarami Reddy",""
"58","1991","Kshana Kshanam","kshana-kshanam-1991","Sridevi","Ram Gopal Varma","M.M. Keeravaani","S. Gopal Reddy","Marthand K. Venkatesh","Ram Gopal Varma","Akkineni Venkat",""
"59","1990","Aggiramudu","aggiramudu-1990","Amala Akkineni","S S Ravichandra","K. Chakravarthy","S. Gopal Reddy","Kotagiri Venkateswara Rao","S.S. Ravichandra","Sekar M Krishna",""
"60","1990","Bobbili Raja","bobbili-raja-1990","Divya Bharti","B. Gopal","Ilaiyaraaja","V.S.R. Swamy","Kotagiri Venkateswara Rao","B. Gopal","Daggubati Suresh Babu",""
"61","1989","Two Town Rowdy","two-town-rowdy-1989","Radha","Dasari Narayana Rao","Saluri Koteswara Rao","V.S.R. Swamy","G.G. Krishna Rao","Dasari Narayana Rao","C. Venkataraju",""
"62","1989","Agni","agni-1989","Kushboo","K. Raghavendra Rao","Hamsalekha","S. Gopal Reddy","Kotagiri Venkateswara Rao","Paruchuri Brothers","K. S. Prakash Rao",""
"63","1989","Prema","prema-1989","Revathi","Suresh Krissna","Ilaiyaraaja","S. Gopal Reddy","Marthand K. Venkatesh","Suresh Krissna","D. Rama Naidu",""
"64","1989","Ontari Poratam","ontari-poratam-1989","Rupini","K. Raghavendra Rao","K. Chakravarthy","S. Gopal Reddy","Kotagiri Venkateswara Rao","Paruchuri Brothers","K.S. Rama Rao",""
"65","1989","Sutradharulu","sutradharulu-1989","Bhanupriya","K. Viswanath","K. V. Mahadevan","S. Gopal Reddy","G.G. Krishna Rao","K. Viswanath","Sudhakar",""
"66","1989","Dhruva Nakshatram","dhruva-nakshatram-1989","Rajani","Y. Nageswara Rao","Chakravarthy","V.S.R. Swamy","Kotagiri Venkateswara Rao","Y. Nageswara Rao","D. Ramanaidu",""
"67","1989","Gaduggai","gaduggai-1989","Rajani","Sarath","Chakravarthy","V.S.R. Swamy","Kotagiri Venkateswara Rao","Sarath","D. Ramanaidu",""
"68","1988","Swarnakamalam","swarnakamalam-1988","Bhanupriya","K. Viswanath","Ilaiyaraaja","N. Hari","G.G. Krishna Rao","K. Viswanath","C H V Appa Rao",""
"69","1988","Brahma Puthrudu","brahma-puthrudu-1988","Rajani","Dasari Narayana Rao","K. Chakravarthy","S. Gopal Reddy","G.G. Krishna Rao","Dasari Narayana Rao","D. Rama Naidu",""
"70","1988","Raktha Tilakam","raktha-tilakam-1988","Amala","B. Gopal","Chakravarthy","V.S.R. Swamy","Kotagiri Venkateswara Rao","B. Gopal","K. Ashok Kumar",""
"71","1988","Varasudochadu","varasudochadu-1988","Suhasini","A. Kodandarami Reddy","Chakravarthy","S. Gopal Reddy","Kotagiri Venkateswara Rao","A. Kodandarami Reddy","S. Gopal Reddy",""
"72","1987","Bharatamlo Arjunudu","bharatamlo-arjunudu-1987","Khushbu","K. Raghavendra Rao","Chakravarthy","S. Gopal Reddy","Kotagiri Venkateswara Rao","K. Raghavendra Rao","D. Ramanaidu",""
"73","1987","Ajeyudu","ajeyudu-1987","Shobana","G. Ram Mohan Rao","Chakravarthy","S. Gopal Reddy","Kotagiri Venkateswara Rao","G. Ram Mohan Rao","D. Ramanaidu",""
"74","1987","Srinivasa Kalyanam","srinivasa-kalyanam-1987","Bhanupriya","Kodi Ramakrishna","K. V. Mahadevan","V. Lakshman","V. Lakshman","Kodi Ramakrishna","K Murari",""
"75","1986","Kaliyuga Pandavulu","kaliyuga-pandavulu-1986","Khusboo","K. Raghavendra Rao","K. Chakravarthy","S. Gopal Reddy","Kotagiri Venkateswara Rao","K. Raghavendra Rao","D. Rama Naidu",""
