ID,Title,Year,Director,Current_Hero,NEW_Correct_Hero,Chiranjeevi_Role
"fe569dd4-0bff-4b5b-a21c-ba2ddd1df78a","Srivari Muchatlu",1981,"Kvasula Ramesh","Chiranjeevi","","supporting"
"3b54e931-c046-431c-8979-fcb08ce2332e","Viswaroopam",1981,"Kodandarami Reddy","Chiranjeevi","","supporting"
"cf1ba5c8-5bd2-40ea-9cd5-a17819d63a44","Bangaru Kanuka",1982,"Vamsy","Chiranjeevi","","supporting"
"b29ee1b0-1588-47ae-a0b5-4155e772ffef","Chalaki Chellamma",1982,"Kodandarami Reddy","Chiranjeevi","","supporting"
"7f6cf42d-75c7-4de4-9f0b-a4f5e2d1e2e5","Chandamama",1982,"Kodandarami Reddy","Chiranjeevi","","supporting"
"b44fa3fb-9940-4544-a1a6-aefd6def9ff0","Chilipi Chinnodu",1982,"K. Vasu","Chiranjeevi","","supporting"
"b49852dc-8dc2-433b-8fa9-a57d807b3f0c","Doctor Malathi",1982,"K. Vasu","Chiranjeevi","","supporting"
"843b8723-8f49-4210-b8b6-04a1f249e669","Emandoyi Srimathigaru",1982,"K. Vasu","Chiranjeevi","","supporting"
"2baf84e2-5b1d-4aaf-a35b-b5c108a3e7c7","Gruha Pravesam",1982,"Bhagyaraj","Chiranjeevi","","supporting"
"48834228-010f-4dcf-a45d-d5074de1941b","Illali Korikalu",1982,"K. Vasu","Chiranjeevi","","supporting"
"ec4030a7-61c9-48c5-bc7c-ab7c4145ad82","Illanta Sandadi",1982,"Relangi Narasimha Rao","Chiranjeevi","","supporting"
"79bcbc96-af18-4d8c-b156-168d2e4eff55","Jaggu",1982,"Kodandarami Reddy","Chiranjeevi","","supporting"
"d53707fe-85b1-4524-910f-52663def9d9b","Kalahala Kapuram",1982,"K. Vasu","Chiranjeevi","","supporting"
"1886c5ac-e131-4f97-a473-f9049d5b9eef","Malle Pandiri",1982,"K. Vasu","Chiranjeevi","","supporting"
"a6f78a50-b018-44b4-a634-1d70d1e54c64","Maro Malupu",1982,"K. Balachander","Chiranjeevi","","supporting"
"22fb7b0b-6d71-429e-a9f7-97534bcdb85e","Poola Pallaki",1982,"K. Vasu","Chiranjeevi","","supporting"
"e4b7a256-bb0b-435c-b9e9-e8db9949cbc0","Prathikaram",1982,"K. Vasu","Chiranjeevi","","supporting"
"9380a31f-f56c-4f39-ae80-dc46a866b50f","Prema Murthulu",1982,"Kodandarami Reddy","Chiranjeevi","","supporting"
"ff399b47-0d9c-49db-824c-30ad37f3f8cd","Propakari Papanna",1982,"Dasari Narayana Rao","Chiranjeevi","","supporting"
"33dd9538-5a15-49a3-9994-8887b04446b0","Radhamma Mogudu",1982,"A. Kodandarami Reddy","Chiranjeevi","","supporting"
"e5e8fa45-5643-428b-984e-69343dfbc169","Raja Chandra",1982,"Kodandarami Reddy","Chiranjeevi","","supporting"
"bf87a501-0f49-4282-bedc-e2705da14447","Ranganayaki",1982,"T. Krishna","Chiranjeevi","","supporting"
"4a487760-5bae-4516-9e42-2030f5fe6e8d","Shamsher Shankar",1982,"K.S.R. Das","Chiranjeevi","","supporting"
"55c3398b-425a-4c1c-b27d-3aedff3867ac","Telugunaadu",1982,"K. Vasu","Chiranjeevi","","supporting"
"191d10a9-c31e-406d-ba17-25158791055d","Apadhbandhavulu",1983,"K. Vasu","Chiranjeevi","","supporting"
"3960072e-1c21-4f7f-bc22-5509a6742e07","Bandhipotu Rudramma",1983,"B. Bhaskara Rao","Chiranjeevi","","supporting"
"af97dc31-c78c-4da7-bd70-935fef558c2c","Chanda Sasanudu",1983,"Krasna","Chiranjeevi","","supporting"
"eb990477-19ab-46cf-bd90-7186a66bb046","Chandi Chamundi",1983,"Kodi Ramakrishna","Chiranjeevi","","supporting"
"c3db6ed8-e694-4479-9743-dedba35fd83f","Chandi Rani",1983,"Kodandarami Reddy","Chiranjeevi","","supporting"
"58711951-24f5-44c2-9249-4a3a38afc82c","Chattaniki Sawal",1983,"K. Vasu","Chiranjeevi","","supporting"
"dc1a4c03-99a0-41e4-9572-66a7eda3f0ec","Debbaku Debba",1983,"Kodandarami Reddy","Chiranjeevi","","supporting"
"1d3f471f-89f5-499b-8508-846242538467","Devi Sridevi",1983,"K. Vasu","Chiranjeevi","","supporting"
"07c71bad-8047-4eba-9caa-8c40d8858701","Digivachina Devudu",1983,"K. Vasu","Chiranjeevi","","supporting"
"c606502d-cd0b-419c-9db9-7c71dce546ff","Iddaru Kiladeelu",1983,"Relangi Narasimha Rao","Chiranjeevi","","supporting"
"cfc4ac24-7219-49da-9a62-18358be98608","Ikanaina Marandi",1983,"Kodandarami Reddy","Chiranjeevi","","supporting"
"f9c45941-42a8-4ccd-9c68-fc280a31a734","Intalludu",1983,"Kodandarami Reddy","Chiranjeevi","","supporting"
"acf6f921-5293-4731-9ce2-99ade5f64f58","Kaksha Sadistha",1983,"Kodandarami Reddy","Chiranjeevi","","supporting"
"52b61517-9a55-43f7-b402-6aec1e1d49a0","Kala Yamudu",1983,"K. Vasu","Chiranjeevi","","supporting"
"8fee0247-5ba6-4bf9-9522-b5e0f356d4c1","Kanthaiyya Kanakaiyya",1983,"K. Vasu","Chiranjeevi","","supporting"
"ebd309ba-ab73-48dc-8e08-079f10ff201a","Keerthi Kantha Kanakam",1983,"K. Vasu","Chiranjeevi","","supporting"
"8b8178fa-1efc-4045-8c4b-fdc18996ae94","Kirayi Bommalu",1983,"Kodandarami Reddy","Chiranjeevi","","supporting"
"c2fa1a8d-85ac-45da-9703-35878e29f352","Kirayi Kotigadu",1983,"A. Kodandarami Reddy","Chiranjeevi","","supporting"
"78e24a8a-f46f-4a2a-9073-5ce14a76ab4b","Kirayi Rangadu",1983,"A. Kodandarami Reddy","Chiranjeevi","","supporting"
"0fbb824f-0bb6-4143-91c9-8de782d03f11","Kodalu Kaavaali",1983,"K. Vasu","Chiranjeevi","","supporting"
"b88165e9-b52f-4820-8d40-2e8aaac39520","Konte Kodallu",1983,"K Vasu","Chiranjeevi","","supporting"
"78e0faa5-97cd-456c-bdb9-924fe5b656c0","Koti Kokkadu",1983,"K. Vasu","Chiranjeevi","","supporting"
"dca69bb6-53f3-4720-96b0-868d0a91cef4","Lanke Bindelu",1983,"K. Vasu","Chiranjeevi","","supporting"
"f36cdaaa-4be9-4308-8018-ae07f9c9ac29","Manavulara Manninchandi",1983,"K. Balachander","Chiranjeevi","","supporting"
"ae25d6f2-6232-4cad-9a38-6c9ad3ba17a8","Manishiko Chartira",1983,"Vijaya Bapineedu","Chiranjeevi","","supporting"
"a546f2a4-8502-4d66-8c9c-094cc361fecd","Moogavadi Paga",1983,"Kodandarami Reddy","Chiranjeevi","","supporting"
"9ab83448-1a15-481d-87da-026dc7e896e0","Oorantha Sankranthi",1983,"K. Vasu","Chiranjeevi","","supporting"
"ccf85077-18d3-4766-a55b-224a75c7989a","Padmavathi Kalyanam",1983,"K. Vasu","Chiranjeevi","","supporting"
"f51dd1fd-0e13-45cb-af80-f631f87c3929","Palleturi Pidugu",1983,"Kodandarami Reddy","Chiranjeevi","","supporting"
"f5008102-02ca-4feb-87d3-54e15a1c6bd8","Pichi Pantuulu",1983,"Jandhyala","Chiranjeevi","","supporting"
"051fe2ca-6f11-42f9-8464-7b72a58c0a91","Prema Vijayam",1983,"Kodandarami Reddy","Chiranjeevi","","supporting"
"310caafb-95c2-4a8a-8671-6311f7f5b529","Raakasi Loya",1983,"Kodandarami Reddy","Chiranjeevi","","supporting"
"ff50c2c8-447d-418e-9942-0d9f00f58e5f","Raghu Ramudu",1983,"Kodandarami Reddy","Chiranjeevi","","supporting"
"63906745-1448-410e-b820-a2ca2ab8e73b","Rudrakali",1983,"K.Raghavendra Rao","Chiranjeevi","","supporting"
"e673902e-9d0c-4a48-a172-349b08648ad3","Shakthi",1983,"K.Bapayya","Chiranjeevi","","supporting"
"ef4a23f1-5cfc-469d-88c3-61d6b396ab2b","Simham Navvindi!",1983,"Deva Das","Chiranjeevi","","supporting"
"daf94cf8-b9ee-4d73-97db-20a45f303879","Simhamtho Chelagatam",1983,"Kodandarami Reddy","Chiranjeevi","","supporting"
"dd0f847f-73d6-4dec-97a4-0bee0f95fdcf","Siripuram Monagadu",1983,"K. Vasu","Chiranjeevi","","supporting"
"a00b540b-3d4c-4112-ab4e-52ab6c1126f8","Sriranga Neethulu",1983,"A Kodandarami Reddy","Chiranjeevi","","supporting"
"6644014c-b16e-41dd-85d4-06eadba9d8f6","Disco King",1984,"Bhagyaraj","Chiranjeevi","","supporting"
"d3a997b3-e2ca-4613-814d-353d54bb06a6","Illalu Priyuralu",1984,"Kodandarami Reddy","Chiranjeevi","","supporting"
"f894763a-c490-4ba8-ae99-da2774919988","Koteeswarudu",1984,"K. Vasu","Chiranjeevi","","supporting"
"b4a8f455-6cd1-41cf-8eca-a7d44dd684a7","Raktha Sambandham",1984,"K. Vasu","Chiranjeevi","","supporting"
"1e238a2f-0a89-4f4d-ad21-2e996c6de275","Rojulu Marayi",1984,"Kodandarami Reddy","Chiranjeevi","","supporting"
"335797a1-8292-4e79-b267-3384021a8b76","Lanchavatharam",1985,"K. Vasu","Chiranjeevi","","supporting"
"65d6c36c-2148-4174-a485-69ea29b33084","Manthra Dandam",1985,"K. Murali Mohan","Chiranjeevi","","supporting"
"044c8eff-8bbd-48ce-9a90-098828985982","Ragile Gundelu",1985,"Kodandarami Reddy","Chiranjeevi","","supporting"
"f0802940-0009-4a3e-a955-bdd5a1b794f8","Apoorva Sahodarulu",1986,"K. Raghavendra Rao","Chiranjeevi","","supporting"
"e75bce64-b0a0-4a82-af51-7e24c6b1e5bb","Chanakya Shapadham",1986,"K. Raghavendra Rao","Chiranjeevi","","supporting"
"6b27b1e1-57b2-4363-8079-e261bfced838","Sakkanodu",1986,"Kodandarami Reddy","Chiranjeevi","","supporting"
"4b361b66-77f7-4b49-b375-a094f1ea42f5","Antima Teerpu",1988,"K. Murali Mohan","Chiranjeevi","","supporting"
"4fed503c-518d-46e7-b1c4-7338f7065e01","Inspector Pratap",1988,"Mohan Gandhi","Chiranjeevi","","supporting"
"26244874-3f2a-4082-95ff-7b537fa5dcaa","Adavi Diviteelu",1990,"Ravi Raja Pinisetty","Chiranjeevi","","supporting"
"8dd570d1-8805-4a3c-b941-ab541fea0a0e","Magaadu",1990,"K. Raghavendra Rao","Chiranjeevi","","supporting"
"8635a79b-825a-4d77-8c49-f748062a353e","Uncle",2000,"Evani Shankar","Chiranjeevi","","supporting"
