Type,Movie,Year,Field,Current Value,Suggested Value,Confidence,Details,Action
missing_field,"Ragile Jwala",1981,cinematographer,"-","-",60%,"Missing cinematographer",report_only
missing_field,"Ragile Jwala",1981,editor,"-","-",60%,"Missing editor",report_only
missing_field,"Ragile Jwala",1981,writer,"-","-",60%,"Missing writer",report_only
missing_field,"Ragile Jwala",1981,producer,"-","-",60%,"Missing producer",report_only
missing_field,"Ragile Jwala",1981,tmdb_id,"-","-",60%,"Missing tmdb_id",report_only
missing_field,"Agni Poolu",1981,cinematographer,"-","-",60%,"Missing cinematographer",report_only
missing_field,"Agni Poolu",1981,editor,"-","-",60%,"Missing editor",report_only
missing_field,"Agni Poolu",1981,writer,"-","-",60%,"Missing writer",report_only
missing_field,"Agni Poolu",1981,producer,"-","-",60%,"Missing producer",report_only
missing_field,"Agni Poolu",1981,tmdb_id,"-","-",60%,"Missing tmdb_id",report_only
missing_field,"Superman",1980,cinematographer,"-","-",60%,"Missing cinematographer",report_only
missing_field,"Superman",1980,editor,"-","-",60%,"Missing editor",report_only
missing_field,"Superman",1980,writer,"-","-",60%,"Missing writer",report_only
missing_field,"Superman",1980,producer,"-","-",60%,"Missing producer",report_only
missing_field,"Sirimalle Navvindi",1980,cinematographer,"-","-",60%,"Missing cinematographer",report_only
missing_field,"Sirimalle Navvindi",1980,editor,"-","-",60%,"Missing editor",report_only
missing_field,"Sirimalle Navvindi",1980,writer,"-","-",60%,"Missing writer",report_only
missing_field,"Sirimalle Navvindi",1980,producer,"-","-",60%,"Missing producer",report_only
missing_field,"Sirimalle Navvindi",1980,tmdb_id,"-","-",60%,"Missing tmdb_id",report_only
missing_field,"Bangaru Chellelu",1979,cinematographer,"-","-",60%,"Missing cinematographer",report_only
missing_field,"Bangaru Chellelu",1979,editor,"-","-",60%,"Missing editor",report_only
missing_field,"Bangaru Chellelu",1979,writer,"-","-",60%,"Missing writer",report_only
missing_field,"Bangaru Chellelu",1979,producer,"-","-",60%,"Missing producer",report_only
