ID,Title (English),Title (Telugu),Year,Synopsis Preview,Source,Updated At
8b147d30-ad71-43e9-bff9-ac56cff3ae63,"Lust Stories 2","-",2023,"లస్ట్ స్టోరీస్ 2 2023 న విడుదలైన హిందీ భాషా వచన చిత్రం; లస్ట్ స్టోరీస్ యొక్క రెండవ భాగం. ఇందులో నలుగ...","english_wikipedia_translated","2026-01-12T01:23:44.479714+00:00"
10a30dff-2d34-46bc-9271-bf0b84815df0,"Sikandar","-",2025,"సికందర్ 2025 భారతీయ హిందీ భాషా యాక్షన్ డ్రామా చిత్రం; దీనికి ఎఆర్ మురుగదాస్ రచన మరియు దర్శకత్వం వహిం...","english_wikipedia_translated","2026-01-12T01:22:08.036379+00:00"
cdb7d075-9dc2-4ddf-8fcf-43f14d1c8380,"Ghosty","-",2023,"గోస్టీ 2023 నాటి భారతీయ తమిళ భాషా కామెడీ హారర్ చిత్రం; కళ్యాణ్ రచన మరియు దర్శకత్వం వహించాడు. సీడ్ పి...","english_wikipedia_translated","2026-01-12T01:22:06.190618+00:00"
f120b7da-6bd9-40da-90d4-f65d523e7b8a,"Karungaapiyam","-",2023,"కరుంగాపియం 2023లో విడుదలైన భారతీయ తమిళ భాషా హారర్ థ్రిల్లర్ సినిమా; దీనికి దీకే రచన మరియు దర్శకత్వం ...","english_wikipedia_translated","2026-01-12T01:22:05.058223+00:00"
1ccb2d27-a3bc-4c80-857d-8184e720042a,"Akhanda 2","-",2025,"అఖండ 2: తాండవం 2025లో విడుదలైన తెలుగు భాషా ఫాంటసీ యాక్షన్ థ్రిల్లర్ సినిమా; దీనికి బోయపాటి శ్రీను రచ...","english_wikipedia_translated","2026-01-12T01:13:13.231512+00:00"
242ebf11-fae3-4bce-8cc6-9e0b60898a44,"Elumale","-",2025,"ఎలుమలే 2025లో విడుదలైన కన్నడ భాషా రొమాంటిక్ థ్రిల్లర్ సినిమా. ఈ సినిమాకు పునీత్ రంగస్వామి తొలిసారిగా...","english_wikipedia_translated","2026-01-12T01:01:35.315077+00:00"
345e8989-bdc7-45b5-b1ae-3c83ddb7bf9d,"Jaat","-",2025,"జాట్ 2025 న విడుదలైన భారతీయ హిందీ భాషా యాక్షన్ థ్రిల్లర్ చిత్రం; గోపీచంద్ మలినేని రచన మరియు దర్శకత్వ...","english_wikipedia_translated","2026-01-12T01:01:35.110884+00:00"
98e550b0-b9ba-43a5-af63-56655539dba0,"Ruslaan","-",2024,"రుస్లాన్ 2024 భారతీయ హిందీ భాషా యాక్షన్ చిత్రం; కరణ్ లలిత్ బుటానీ దర్శకత్వం వహించి రుద్రపతి రామారావు...","english_wikipedia_translated","2026-01-12T01:01:31.815084+00:00"
916dc0f6-b852-4702-9ce5-55721c7f09b5,"The Bed","-",2026,"సీక్రెట్స్ డి'అల్కోవ్ 1954లో విడుదలైన ఫ్రెంచ్ హాస్య చిత్రం; ఇందులో హెన్రీ డికోయిన్; జీన్ డెలానోయ్; జ...","english_wikipedia_translated","2026-01-12T00:55:09.750595+00:00"
ff6942e4-9ca1-4c5d-95f7-1881f825385e,"Blackmail","-",2025,"బ్లాక్‌మెయిల్ 2025లో విడుదలైన భారతీయ తమిళ భాషా క్రైమ్ థ్రిల్లర్ సినిమా; దీనికి ము మారన్ రచన మరియు దర...","english_wikipedia_translated","2026-01-12T00:55:09.647285+00:00"
0ee2c153-fec8-4352-b30f-741eab42e56f,"Konjam Kadhal Konjam Modhal","-",2025,"కొంజం కధల్ కొంజం మొధల్ 2025లో విడుదలైన తమిళ భాషా రొమాంటిక్ కామెడీ చిత్రం. కె. రంగరాజ్ రచన మరియు దర్శ...","english_wikipedia_translated","2026-01-12T00:55:09.540314+00:00"
7fa3bf5a-b2c6-44b1-83a5-a5ac3bb14fa0,"Dinasari","-",2025,"దినసరి (అనువాదం: ప్రతిరోజూ) 2025 భారతీయ తమిళ భాషా రొమాంటిక్ కామెడీ చిత్రం; జి శంకర్ రచన మరియు దర్శకత...","english_wikipedia_translated","2026-01-12T00:55:09.430615+00:00"
ba3e283f-f998-4c8d-baee-02bd4fa74d4d,"Sathamindri Mutham Tha","-",2024,"సతమింద్రి ముత్తం త 2024 భారతీయ తమిళ భాషా రొమాంటిక్ థ్రిల్లర్ చిత్రం; రాజ్‌దేవ్ రచన మరియు దర్శకత్వం వ...","english_wikipedia_translated","2026-01-12T00:55:08.030267+00:00"
cc992188-0871-48f9-af32-b7dd2a8a86f7,"Maya Puthagam","-",2024,"మాయ పుతగం 2024లో విడుదలైన తమిళ భాషా ఫాంటసీ థ్రిల్లర్ సినిమా. రామ జయప్రకాష్ ఈ సినిమాకు దర్శకత్వం వహిం...","english_wikipedia_translated","2026-01-12T00:55:06.227527+00:00"
d2ea0275-f55a-4e3e-bb40-fade8784bcbc,"Amala","-",2023,"అమల 2023లో విడుదలైన మలయాళం భాషా థ్రిల్లర్ సినిమా. నిషాద్ ఎబ్రహిం దర్శకత్వం వహించిన ఈ సినిమాలో శ్రీకా...","english_wikipedia_translated","2026-01-12T00:55:04.978808+00:00"
9e64cd53-5879-44ad-b69e-fd2c18aa58ed,"Bagheera","-",2023,"బఘీరా 2023లో విడుదలైన భారతీయ తమిళ సైకలాజికల్ రొమాంటిక్ థ్రిల్లర్ సినిమా; అధిక్ రవిచంద్రన్ రచన మరియు ...","english_wikipedia_translated","2026-01-12T00:55:04.857575+00:00"
2fef0ca5-b6a5-42e8-992d-0df04894afe0,"Echo","-",2023,"ఎకో 2023లో విడుదలైన భారతీయ తమిళ సైకలాజికల్ థ్రిల్లర్ సినిమా; నవీన్ గణేష్ దర్శకత్వం వహించాడు. శ్రీకాం...","english_wikipedia_translated","2026-01-12T00:55:03.997068+00:00"
ec935cb7-6256-4e70-948a-1b0e99ddd368,"Fauzi","-",2026,"ఫౌజీ అనేది ఇండోనేసియా ఇంటిపేరు. ఈ ఇంటిపేరు కలిగిన ప్రముఖులు: అబ్సర్ ఫౌజీ; ఇండోనేసియా ఫుట్‌బాల్ క్రీడ...","english_wikipedia_translated","2026-01-12T00:50:35.046953+00:00"
df3f4a64-d05d-4426-ad8a-111953935f55,"Ramachandra Boss & Co","-",2023,"రామచంద్ర బాస్ & కంపెనీ 2023లో విడుదలైన మలయాళ హీస్ట్ యాక్షన్ కామెడీ సినిమా; హనీఫ్ అదేని దర్శకత్వం వహి...","english_wikipedia_translated","2026-01-12T00:50:32.011408+00:00"
6b46118f-f4c1-4091-bd69-b73b521ac2dc,"Kubera","-",2024,"కుబేరా అనేది 2025లో విడుదలైన భారతీయ యాక్షన్ డ్రామా సినిమా; దీనికి శేఖర్ కమ్ముల దర్శకత్వం వహించాడు; చ...","english_wikipedia_translated","2026-01-12T00:01:35.716875+00:00"
