#,Year,Title,Heroine,Director,Music,Cinematographer,Editor,Writer,Status
"35","1999","Maa Balaji","Maheswari","Kodi Ramakrishna","S.A. Rajkumar","Venu","Marthand K. Venkatesh","Kodi Ramakrishna",""
"36","1999","Bobbili Vamsam","Rambha","A. Kodandarami Reddy","M.M. Keeravani","S. Gopal Reddy","Kotagiri Venkateswara Rao","Paruchuri Brothers",""
"37","1998","Premante Ideraa","Preity Zinta","Jayant Paranji","Ramana Gogula","Rasool Ellore","Marthand K. Venkatesh","Jayant Paranji",""
"38","1998","Ganesh","Madhoo","Tirupathi Swamy","Mani Sharma","Balu","Marthand K Venkatesh","Tirupathi Swamy",""
"39","1997","Pelli Chesukundam","Soundarya","Muthyala Subbaiah","Saluri Koteswara Rao","A. Ravindra Babu","Gautham Raju","Bhupati Raja",""
"40","1997","Preminchukundam Raa","Anjala Zaveri","Jayant Paranji","Mahesh Mahadevan","A. Ravindra Babu","Marthand K. Venkatesh","Deenamani",""
"41","1997","Chinnabbayi","Ramya Krishnan","K. Viswanath","Ilaiyaraaja","P.S. Prakash","G.G. Krishna Rao","K. Viswanath",""
"42","1997","Veedevadandi Babu","Shilpa Shetty","E.V.V. Satyanarayana","Koti","Rajan Kothari","Marthand K. Venkatesh","E.V.V. Satyanarayana",""
"43","1996","Sarada Bullodu","Nagma","Ravi Raja Pinisetty","Saluri Koteswara Rao","A. Ravindra Babu","Kotagiri Venkateswara Rao","Ravi Raja Pinisetty",""
"44","1996","Dharma Chakram","Srividya","Suresh Krissna","M M Sreelekha","P.S. Prakash","Marthand K. Venkatesh","Suresh Krissna",""
"45","1996","Pavithra Bandham","Soundarya","Muthyala Subbaiah","M.M. Keeravaani","V. Jayaram","Marthand K. Venkatesh","Muthyala Subbaiah",""
"46","1996","Intlo Illalu Vantintlo Priyuralu","Soundarya","E.V.V. Satyanarayana","Saluri Koteswara Rao","Rajan Kothari","K. Ravindra Babu","E.V.V. Satyanarayana",""
"47","1996","Saahasa Veerudu Saagara Kanya","Shilpa Shetty Kundra","K Raghavendra Rao","M.M. Keeravaani","S. Gopal Reddy","Kotagiri Venkateswara Rao","Paruchuri Brothers",""
"48","1995","Pokiri Raja","Roja","A. Kodandarami Reddy","Saluri Koteswara Rao","S. Gopal Reddy","Marthand K. Venkatesh","Paruchuri Brothers",""
"49","1994","Super Police","Nagma","K. Murali Mohana Rao","A.R. Rahman","S. Gopal Reddy","Kotagiri Venkateswara Rao","V.C. Guhanathan",""
"50","1993","Abbaigaru","Meena","E.V.V. Satyanarayana","M.M. Keeravani","Rajan Kothari","Marthand K. Venkatesh","E.V.V. Satyanarayana",""
"51","1992","Chinarayudu","Vijayashanti","B. Gopal","Ilaiyaraaja","V.S.R. Swamy","Kotagiri Venkateswara Rao","B. Gopal",""
"52","1992","Chanti","Meena","Ravi Raja Pinisetty","Ilaiyaraaja","S. Gopal Reddy","Marthand K. Venkatesh","Ravi Raja Pinisetty","Industry Record-Breaker"
"53","1992","Champion","Debora","B. Gopal","Bappi Lahiri","V.S.R. Swamy","Kotagiri Venkateswara Rao","B. Gopal",""
"54","1992","Chakravyuham","Gautami","B.V. Ramana","Madhavapeddi Suresh","M.V. Raghu","Shankar","B.V. Ramana",""
"55","1992","Sundara Kanda","Meena, Aparna","K. Raghavendra Rao","M.M. Keeravani","Jayanan Vincent","Kotagiri Venkateswara Rao","K. Bhagyaraj (Story)",""
"56","1991","Coolie No. 1","Tabu","K Raghavendra Rao","Ilaiyaraaja","S. Gopal Reddy","Kotagiri Venkateswara Rao","K. Raghavendra Rao",""
"57","1991","Shatruvu","Vijayashanti","Kodi Ramakrishna","Saluri Koteswara Rao","V. Lakshman","V. Lakshman","Kodi Ramakrishna",""
"58","1991","Surya IPS","Vijayashanti","A. Kodandarami Reddy","Ilaiyaraaja","V.S.R. Swamy","Kotagiri Venkateswara Rao","A. Kodandarami Reddy",""
"59","1991","Kshana Kshanam","Sridevi","Ram Gopal Varma","M.M. Keeravaani","S. Gopal Reddy","Marthand K. Venkatesh","Ram Gopal Varma",""
"60","1990","Aggiramudu","Amala Akkineni","S S Ravichandra","K. Chakravarthy","S. Gopal Reddy","Kotagiri Venkateswara Rao","S.S. Ravichandra",""
"61","1990","Bobbili Raja","Divya Bharti","B. Gopal","Ilaiyaraaja","V.S.R. Swamy","Kotagiri Venkateswara Rao","B. Gopal",""
"62","1989","Two Town Rowdy","Radha","Dasari Narayana Rao","Saluri Koteswara Rao","V.S.R. Swamy","G.G. Krishna Rao","Dasari Narayana Rao",""
"63","1989","Ontari Poratam","Maheshwari","K. Raghavendra Rao","K. Chakravarthy","S. Gopal Reddy","Kotagiri Venkateswara Rao","Paruchuri Brothers",""
"64","1989","Agni","Kushboo","K. Raghavendra Rao","Hamsalekha","S. Gopal Reddy","Kotagiri Venkateswara Rao","Paruchuri Brothers",""
"65","1989","Prema","Revathi","Suresh Krissna","Ilaiyaraaja","S. Gopal Reddy","Marthand K. Venkatesh","Suresh Krissna",""
"66","1989","Sutradharulu","Meena","K. Viswanath","K. V. Mahadevan","S. Gopal Reddy","G.G. Krishna Rao","K. Viswanath",""
"67","1989","Dhruva Nakshatram","Rajani","Y. Nageswara Rao","Chakravarthy","V.S.R. Swamy","Kotagiri Venkateswara Rao","Y. Nageswara Rao",""
"68","1989","Gaduggai","Rajani","Sarath","Chakravarthy","V.S.R. Swamy","Kotagiri Venkateswara Rao","Sarath",""
"69","1988","Swarnakamalam","Bhanupriya","K. Viswanath","Ilaiyaraaja","N. Hari","G.G. Krishna Rao","K. Viswanath",""
"70","1988","Brahma Puthrudu","Rajani","Dasari Narayana Rao","K. Chakravarthy","S. Gopal Reddy","G.G. Krishna Rao","Dasari Narayana Rao",""
"71","1988","Raktha Tilakam","Amala","B. Gopal","Chakravarthy","V.S.R. Swamy","Kotagiri Venkateswara Rao","B. Gopal",""
"72","1988","Varasudochadu","Suhasini","A. Kodandarami Reddy","Chakravarthy","S. Gopal Reddy","Kotagiri Venkateswara Rao","A. Kodandarami Reddy",""
"73","1987","Bharatamlo Arjunudu","Khushbu","K. Raghavendra Rao","Chakravarthy","S. Gopal Reddy","Kotagiri Venkateswara Rao","K. Raghavendra Rao",""
"74","1987","Ajeyudu","Shobana","G. Ram Mohan Rao","Chakravarthy","S. Gopal Reddy","Kotagiri Venkateswara Rao","G. Ram Mohan Rao",""
"75","1987","Srinivasa Kalyanam","Bhanupriya","Kodi Ramakrishna","K. V. Mahadevan","V. Lakshman","V. Lakshman","Kodi Ramakrishna",""
"76","1986","Kaliyuga Pandavulu","Khusboo","K. Raghavendra Rao","K. Chakravarthy","S. Gopal Reddy","Kotagiri Venkateswara Rao","K. Raghavendra Rao",""
