ID,Title,Year,Heroine,Director,Cast,Poster,Synopsis,Status
07e120ea,"Gundamma Gari Krishnulu",1987,"Rajani","","Subhalekha Sudhakar; Nirmalamma; Suthi Veerabhadra",No,No,D,P,S
1fbb114e,"Aha Naa Pellanta!",1987,"Rajani","Jandhyala Subramanya Sastry","{"name":"Rajendra Prasad","character":"Krishna Mur",Yes,Yes,Complete
f85e93be,"Thene Manasulu",1987,"Archana","K. Vasu","",Yes,Yes,C
4e3f5e6f,"Jandhyala",1987,"Jaya Sudha","Jandhyala","",Yes,Yes,C
1b1f4ffb,"Sruthilayalu",1987,"Sumalatha","K. Vasu","",Yes,Yes,C
4ddbadc4,"Thrimoorthulu",1987,"Rajani","K. Murali Mohan","",Yes,Yes,C
bdabcd39,"Pelli Chesi Choodu",1988,"Ashwini","Relangi Narasimha Rao","Nutan Prasad; Ali",Yes,Yes,Complete
3f44e691,"Thodallullu",1988,"Gautami","Relangi Narasimha Rao","Gollapudi Maruti Rao; Kota Srinivasa Rao",Yes,Yes,Complete
dd728fef,"Donga Kollu",1988,"Sumalatha","Kodandarami Reddy","Brahmanandam; Suthi Velu",Yes,Yes,Complete
b6d3b8e2,"Kallu",1988,"Sumalatha","Muthyala Subbaiah","",Yes,Yes,C
7de81575,"Tiragabadda Telugubidda",1988,"Nagma","Vamsy","",Yes,Yes,C
4767ac9a,"Prana Snehithulu",1988,"Rajani","Vamsy","",Yes,Yes,C
0e143535,"Bharya Bhartala Bhagotham",1988,"Chandra Mohan","Mahesh Kumar","Brahmanandam; Suthi Velu",Yes,Yes,Complete
dd43cb54,"Chikkadu Dorakadu",1988,"Ashwini","Kodanda Rami Reddy","",Yes,Yes,C
6ff03969,"Donga Ramudu",1988,"Rajani","Kodanda Rami Reddy","",Yes,Yes,C
57c10be8,"Asthulu Anthasthulu",1988,"Geetha","Ashok Kumar","Rammohan; Brahmanandam",Yes,Yes,Complete
08d4bccd,"Sahasam Cheyara Dimbhaka",1988,"Kalpana","Relangi Narasimha Rao","Kota Srinivasa Rao; Brahmanandam; Suthi Velu",Yes,Yes,Complete
9b1f5d12,"Maharajashri Mayagaadu",1988,"Ashwini","Kodanda Rami Reddy","",Yes,Yes,C
c7208f0e,"Bava Marudula Saval",1988,"Rajasekhar","C. V. Ganesh","Chakravarthy; Suthi Velu",Yes,Yes,Complete
f6521f0a,"Station Master",1988,"Shantipriya","Kodanda Rami Reddy","Ashwini; Rao Gopal Rao; Brahmanandam; Suthi Velu",Yes,Yes,Complete
ee949bc8,"Aanimuthyam",1988,"Radhika","","Sarath Babu; Rajya Lakshmi",No,No,D,P,S
cd87b005,"Bhama Kalapam",1988,"Seetha","Kodandarami Reddy","Brahmanandam; Nutan Prasad",Yes,Yes,Complete
05664394,"Chinnodu Peddodu",1988,"Rahasiya","Relangi Narasimha Rao","Chandra Mohan; Tulasi",Yes,Yes,Complete
ead1c26b,"Vivaha Bhojanambu",1988,"Ashwini","Muthyala Subbaiah","Brahmanandam; Suthi Velu; Subhalekha Sudhakar",Yes,Yes,Complete
7cc9a091,"Jayamu Nischayamu Raa",1989,"Chandra Mohan","Jandhyala","",Yes,Yes,C
3ca99ea4,"Manchu Kutumbam",1989,"Rambha","Relangi Narasimha Rao","",Yes,Yes,C
6c4440ae,"Chalaki Mogudu Chavali Pellam",1989,"Rajani","","Suthi Velu; Brahmanandam",No,No,D,P,S
75a2c20f,"Zoo Laka Taka",1989,"Tulasi","","Brahmanandam; Mallikarjuna Rao",No,No,D,P,S
bd1b61c9,"Bharyalu Jagratha",1989,"Poornima","Kodanda Rami Reddy","",Yes,Yes,C
22059958,"Vichitra Sodarulu",1989,"Ashwini","Kodanda Rami Reddy","",Yes,Yes,C
c6c75c07,"Muthyamantha Muddu",1989,"Seetha","Ravi Raja Pinisetty","Brahmanandam; Suthi Velu; Kota Srinivasa Rao",Yes,Yes,Complete
733f6fa8,"Bhale Donga",1989,"Gautami","Kodi Ramakrishna","",Yes,Yes,C
a34fe89a,"Joo Laka Taka",1989,"Thulasi","G. Madhusudhan Rao","",Yes,Yes,C
62e5801c,"Anna Chellalu",1989,"Rambha","Ravi Raja Pinisetty","",Yes,Yes,C
f31fb541,"Bandhuvulostunnaru Jagratha",1989,"Rajani","Sarath","{"name":"Rajendra Prasad","character":"Chittibabu"",Yes,Yes,Complete
b20f3909,"Chettu Kinda Pleader",1989,"Kinnera","Vamsy","{"name":"Rajendra Prasad","character":"Balaraju","",Yes,Yes,Complete
03296a7b,"Mamatala Kovela",1989,"Shantipriya","Kodandarami Reddy","",Yes,Yes,C
fcfbbb4a,"Yamapaasam",1989,"Roja","Kodanda Rami Reddy","",Yes,Yes,C
3007ecce,"Paila Pacheesu",1989,"Radha","Kodi Ramakrishna","Sarath Babu; Brahmanandam",Yes,Yes,Complete
e908db73,"Gopala Rao Gari Abbayi",1989,"Karthik","Manivannan","Rao Gopal Rao; Brahmanandam",Yes,Yes,Complete
67f0891e,"Chalaki Mogudu Chadastapu Pellam",1989,"Rajani","Relangi Narasimha Rao","",Yes,Yes,C
bc693473,"Iddaru Pellala Muddula Police",1990,"Divya Vani","Relangi Narasimha Rao","",Yes,Yes,C
72c28149,"Idem Pellam Baboi",1990,"Radhika","Ravi Teja","Somayajulu; Brahmanandam; Kota Srinivasa Rao",Yes,Yes,Complete
a1bdb09b,"Navayugam",1990,"Meena","K. S. Sethumadhavan","",Yes,Yes,C
189f1c9d,"Ramba Rambabu",1990,"Parijata","","Brahmanandam; Kota Srinivasa Rao",No,No,D,P,S
5ba85799,"Rambha Rambabu",1990,"Chandni","Kodi Ramakrishna","",Yes,Yes,C
d045e01e,"Mahajananiki Maradalu Pilla",1990,"Nirosha","Vallabhaneni Jhanardan","Aishwarya; Satyanarayana",Yes,Yes,Complete
e5a773e4,"Prema Zindabad",1990,"Shobana","P. N. Ramachandra Rao","",Yes,Yes,C
1de4fe42,"Master Kapuram",1990,"Shobana","K. Vasu","Brahmanandam; Lakshmi",Yes,Yes,Complete
d346b527,"Mama Alludu",1990,"Vani Viswanath","","Dasari Narayana Rao; Brahmanandam",No,No,D,P,S
98f7a5c6,"Jayammu Nischayammu Raa",1990,"Sumalatha","Jandhyala","",Yes,Yes,C
58977807,"Edurinti Mogudu Pakkinti Pellam",1991,"Divya Vani","Relangi Narasimha Rao","Brahmanandam; Babu Mohan; Suthi Velu",Yes,Yes,Complete
48e248f1,"Athma Bandham",1991,"Rambha","Mouli","",Yes,Yes,C
c91a0432,"Appula Appa Rao",1991,"Shobana","E.V.V. Satyanarayana","{"name":"Rajendra Prasad","character":"Apparao","o",Yes,Yes,Complete
421ea5a8,"Teneteega",1991,"Sithara","M. Nanda Kumar","Babu Mohan; Brahmanandam",Yes,Yes,Complete
1cb48a70,"Madhura Nagarilo",1991,"Divya Vani","Kodi Ramakrishna","",Yes,Yes,C
aaf79aaa,"April 1 Vidudala",1991,"Shobana","","Mallikarjuna Rao; Sakshi Ranga Rao; Krishna Bhagav",No,No,D,P,S
bf27e9bc,"Pandirimancham",1991,"Rambha","Relangi Narasimha Rao","",Yes,Yes,C
a36ebccb,"Kobbari Bondam",1991,"Rambha","K. Vasu","Sudhakar; Mallikarjuna Rao",Yes,Yes,Complete
0cb29727,"Prema Thapassu",1991,"Roja","Vamsy","",Yes,Yes,C
a7a2a2bd,"Yerra Mandaram",1991,"Jayalalita","Muthyala Subbaiah","Jaggayya; Devaraj; Babu Mohan",Yes,Yes,Complete
99ad8750,"Aada Pilla",1991,"Nirosha","Kodanda Rami Reddy","",Yes,Yes,C
b9c121fc,"Keechu Raallu",1991,"Anusha","Kodi Ramakrishna","",Yes,Yes,C
b81979d8,"Stuvartpuram Dongalu",1991,"Divya Vani","K Surya Prakash Rao","",Yes,Yes,C
2b77cc60,"Pelli Pustakam",1991,"Divyavani","Bapu","{"name":"Rajendra Prasad","character":"","order":0",Yes,Yes,Complete
6dbbde02,"Attintlo Adde Mogudu",1991,"Nirosha","Relangi Narasimha Rao","Suthi Velu; Brahmanandam",Yes,Yes,Complete
cd6e53f9,"Minor Raja",1991,"Rekha","Katragadda Ravi Teja","Kushboo; Brahmanandam",Yes,Yes,Complete
ce7d501d,"April 1st Vidudala",1991,"Shobana","Vamsy","{"name":"Rajendra Prasad","character":"Diwakaram",",Yes,Yes,Complete
00e16f85,"College Bullodu",1992,"Nagma","Sarath","",Yes,Yes,C
f087db15,"Parvatalu Panakalu",1992,"Shobana","Relangi Narasimha Rao","",Yes,Yes,C
d3c9c538,"Aa Okkati Adakku",1992,"Rambha","E.V.V. Satyanarayana","{"name":"Rajendra Prasad","character":"Chitti Babu",Yes,Yes,Complete
706e3c97,"Ayyayyo Brahamayya",1992,"Shanthi Priya","Kodi Ramakrishna","",Yes,Yes,C
af6d21bf,"Seetapathi Chalo Tirupathi",1992,"Vani Viswanath","Vijaya Bapineedu","Brahmanandam; Babu Mohan",Yes,Yes,Complete
a71fb883,"Akka Mogudu",1992,"Yamuna","Kodanda Rami Reddy","",Yes,Yes,C
7a42802b,"Rakta Tarpanam",1992,"Roja","Kodandarami Reddy","",Yes,Yes,C
cdeae4f2,"Bangaru Mama",1992,"Meena","K. Ajitha","",Yes,Yes,C
53edc1b3,"Golmaal Govindam",1992,"Anusha","T. Rama Rao","Subhalekha Sudhakar; Brahmanandam",Yes,Yes,Complete
289f82e3,"Appula Appa Rao",1992,"Shobana","E.V.V. Satyanarayana","Brahmanandam; Ironleg Sastri",No,No,P,S
be67b9a8,"Brindavanam",1992,"Mohan Babu's daughter, Lakshmi Manchu is not in the movie, the heroine is actually, Unknown","Singeetam Srinivasa Rao","",Yes,Yes,C
5842f584,"Subba Rayudi Pelli",1992,"Aishwarya","Dasari Narayana Rao","Suthi Velu; Babu Mohan",Yes,Yes,Complete
cafbf8d0,"Mayalodu",1993,"Soundarya","S.V. Krishna Reddy","{"name":"Rajendra Prasad","character":"Veera Babu"",Yes,Yes,Complete
e8241d44,"Pekata Papa Rao",1993,"Kushboo","","Brahmanandam; Tanikella Bharani",No,No,D,P,S
b80cea1a,"Topi Raja Sweety Roja",1993,"Roja","N Shiva Prasad","",Yes,Yes,C
5c23c93a,"Joker",1993,"Vani Viswanath","Vamsy","{"name":"Rajendra Prasad","character":"Balaji","or",Yes,Yes,Complete
745886a3,"Pekata Paparao",1993,"Khushboo","Y Nageswara Rao","",Yes,Yes,C
977edb4e,"Parugo Parugu",1993,"Sruthi","Relangi Narasimha Rao","",Yes,Yes,C
328f4de7,"Kannayya Kittayya",1993,"Shobana","Relangi Narasimha Rao","",Yes,Yes,C
c550eb67,"Mister Pellam",1993,"Aamani","Bapu","{"name":"Rajendra Prasad","character":"Balaji/ Lor",Yes,Yes,Complete
f2a4f046,"Akka Pettanam Chelleli Kapuram",1993,"Aparna","Dasari Narayana Rao","",Yes,Yes,C
db98d8d1,"Alibaba Aradajanu Dongalu",1993,"Ravali","E.V.V. Satyanarayana","{"name":"Rajendra Prasad","character":"Alibaba","o",Yes,Yes,Complete
7c2d57d3,"Akka Pethanam",1993,"Roja","","Jayasudha; Vikram",No,No,D,P,S
56957ec9,"Rajendrudu Gajendrudu",1993,"Soundarya","S.V. Krishna Reddy","{"name":"Rajendra Prasad","character":"","order":0",Yes,Yes,Complete
182814c1,"Vaddu Bava Thappu",1994,"Ravali","K. Ajay Kumar","",Yes,Yes,C
8df1a616,"Brahmachari Mogudu",1994,"Annapoorna","Narasimha Rao Relangi","{"name":"Rajendra Prasad","character":"Ram Babu","",Yes,Yes,Complete
af88f104,"Lucky Chance",1994,"Kanchan","Siva Nageshwara Rao","{"name":"Rajendra Prasad","character":"","order":0",Yes,Yes,Complete
8060afed,"Bramhachari Mogudu",1994,"Yamuna","","Brahmanandam; Babu Mohan; Satyanarayana",No,No,D,P,S
1604e09e,"Parugo Parugu",1994,"Shruti","","Jayalalita; Brahmanandam",No,No,D,P,S
34925544,"Allarodu",1994,"Surabhi","K. Ajay Kumar","Brahmanandam; Babu Mohan",Yes,Yes,Complete
25833c13,"Lingababu Love Story",1995,"Rajashree","Vamsy","{"name":"Rajendra Prasad","character":"Lingababu",",Yes,Yes,Complete
4a37b927,"Vaddu Bava Thappu",1995,"Ravali","","Satyanarayana; Pruthviraj",No,No,D,P,S
8fc698bf,"Rambantu",1995,"No Female Lead","Bavu","",Yes,Yes,C
3f7cf95c,"Ketu Duplicatu",1995,"Surabhi","","Brahmanandam; Babu Mohan",No,No,D,P,S
c9ef427d,"Aadaalla Majaka",1995,"Sudhakar","Muthyala Subbaiah","",Yes,Yes,C
53d1fe69,"Ladies Doctor",1996,"Vineetha","Ram Gopal Varma","Babu Mohan; Kasi Viswanath",Yes,Yes,Complete
f4204455,"Topi Raja Sweety Roja",1996,"Roja","","Brahmanandam; Babu Mohan; Mallikarjuna Rao",No,No,D,P,S
0c523235,"Mummy Mee Aayanochadu",1996,"Indraja","K. Raghavendra Rao","{"name":"Rajendra Prasad","character":"Satish","or",Yes,Yes,Complete
607158dd,"Mama Bagunnava",1997,"No Female Lead","Kodi Ramakrishna","Mohini; Naresh; Brahmanandam; Tanikella Bharani",Yes,Yes,Complete
d07ec12c,"Chilakkottudu",1997,"Ramya Krishnan","E. V. V. Satyanarayana","Madhubala; Brahmanandam",Yes,Yes,Complete
c1dd95fc,"Mee Aayana Jagratha",1998,"Roja","Muthyala Ramadas","",Yes,Yes,C
a3fa36ef,"Navvulata",1998,"Maheshwari","Gopichand Nadella","",Yes,Yes,C
2cb5a2e1,"Kshemamga Velli Labhamga Randi",2000,"Roja","","Srikanth; Brahmanandam; Ramya Krishna; Kovai Saral",No,No,D,P,S
e50610b7,"Rajendra Prasad, Rachana Banerjee, Asha Saini",2000,"Rachana Banerjee","Rajendra Prasad, Rachana Banerjee, Asha Saini","",Yes,Yes,C
cf411f77,"Antha Mana Manchike",2000,"Ramya Krishna","","Dasari Narayana Rao",No,No,D,P,S
7e9b3c13,"Ammo Bomma",2001,"Seema","Relangi Narasimha Rao","Brahmanandam; Sudhakar; Tanikella Bharani",Yes,Yes,Complete
f71e0446,"Ammaye Navvithe",2001,"Jayasudha","V","",Yes,Yes,C
6a0ac3de,"Apparao ki Oka Nela Thappindi",2001,"Madhusmita","Relangi Narasimha Rao","Brahmanandam; Tanikella Bharani",Yes,Yes,Complete
659e225f,"Sriramachandrulu",2003,"Rambha","","Raasi; Brahmanandam; Sivaji; Kovai Sarala",No,No,D,P,S
0d65c977,"Aa Naluguru",2004,"Aamani","Chandra Siddhartha","{"name":"Rajendra Prasad","character":"Raghu Ramay",Yes,Yes,Complete
a55d24e1,"Oka Pellam Muddu Rendo Pellam Vaddu",2004,"Raasi","Kongarapi Venkata Ramana","{"name":"Rajendra Prasad","character":"Harischadra",Yes,Yes,Complete
3daa7b5c,"Andaru Dongale Dorikite",2004,"Prabhu Deva","Nidhi Prasad","{"name":"Rajendra Prasad","character":"Bangaru Raj",Yes,Yes,Complete
b6d7f665,"Andagadu",2005,"Damini","Pendyala Venkata Rama Rao","Sayaji Shinde; Brahmanandam; M.S. Narayana",Yes,Yes,Complete
8a76e114,"Pellam Pichodu",2005,"Richa Pallod","","Giri Babu; Rama Prabha",No,No,D,P,S
84cc0d56,"Rajababu",2006,"Sneha","Muppalaneni Siva","",Yes,Yes,C
5ca842b7,"Mee Sreyobhilashi",2007,"Radha Kumari","V Eshwar Reddy","{"name":"Rajendra Prasad","character":"","order":0",Yes,Yes,Complete
7a5dc5f8,"Quick Gun Murugun",2009,"Rambha","","Nassar; Anu Menon",No,No,D,P,S
4bac2b9a,"Gudu Gudu Gunjam",2010,"No Female Lead","Veeru Potla","",Yes,Yes,C
80f6f0bf,"Ayyare",2012,"Sai Kumar","Sagar Chandra","",Yes,Yes,C
cfe70ee3,"Chinni Chinni Aasa",2013,"Indraja","Dr. Kiran","{"name":"Singeetam Srinivasa Rao","character":"","",Yes,Yes,Complete
e47d483d,"Noothi Lo Kappalu",2015,"Mannara Chopra","Rajendra Prasad, Pari Singh","",Yes,Yes,C
155a0e4c,"Dagudumootha Dandakor",2015,"Sara Arjun","Ram Kumar","",Yes,Yes,C
1bc17165,"Oh! Baby",2019,"Samantha","B. V. Nandini Reddy","{"name":"Samantha Ruth Prabhu","character":"Swathi",Yes,Yes,Complete
1b9ea456,"Gaali Sampath",2021,"Ashya","Annish Krishna","{"name":"Rajendra Prasad","character":"Gaali Sampa",Yes,Yes,Complete
d759cc8f,"Senapathi",2021,"Gnaneswari Kandregula","Pavan Sadineni","{"name":"Rajendra Prasad","character":"Senapathi/K",Yes,Yes,Complete
6e623753,"Anukoni Prayanam",2022,"Tulasi","Venkatesh Pediredla","{"name":"Rajendra Prasad","character":"","order":0",Yes,Yes,Complete
516fbde9,"Krishna Rama",2023,"Gautami","Raj Madiraju","{"name":"Anudeep Venigalla","character":"Rama","or",Yes,Yes,Complete
80846f34,"Organic Mama Hybrid Alludu",2023,"Mirnalini Ravi","S.V. Krishna Reddy","{"name":"Syed Sohel Ryan","character":"VIjay","ord",Yes,Yes,Complete
fae84446,"Shashtipoorthi",2025,"Archana","","",No,No,D,C,P,S
757ef834,"Shashtipoorti",2025,"Archana","Pravan Prabha","{"name":"Rajendra Prasad","character":"","order":0",Yes,Yes,Complete
