Section,Title,Year,Slug,Current Value,Suggested Value,Action
Missing cinematographer,"Kittu",2006,kittu-2006,,,"Fill"
Missing editor,"Kittu",2006,kittu-2006,,,"Fill"
Missing tmdb_id,"Kittu",2006,kittu-2006,,,"Fill"
Missing tmdb_id,"Kithakithalu",2006,kithakithalu-2006,,,"Fill"
Missing writer,"Gopi Goda Meeda Pilli",2006,gopi-goda-meeda-pilli-2006,,,"Fill"
Missing cinematographer,"Party",2006,party-2006,,,"Fill"
Missing editor,"Party",2006,party-2006,,,"Fill"
Missing editor,"Nenu",2004,nenu-2004,,,"Fill"
Missing cinematographer,"Juniors",2003,juniors-2003,,,"Fill"
Missing tmdb_id,"Juniors",2003,juniors-2003,,,"Fill"
Missing cinematographer,"Dhanalakshmi, I Love You",2002,dhanalakshmi-i-love-you-2002,,,"Fill"
Missing editor,"Dhanalakshmi, I Love You",2002,dhanalakshmi-i-love-you-2002,,,"Fill"
Missing writer,"Dhanalakshmi, I Love You",2002,dhanalakshmi-i-love-you-2002,,,"Fill"
Missing producer,"Dhanalakshmi, I Love You",2002,dhanalakshmi-i-love-you-2002,,,"Fill"
Missing tmdb_id,"Dhanalakshmi, I Love You",2002,dhanalakshmi-i-love-you-2002,,,"Fill"
