"Priority","Actor Name (EN)","Actor Name (TE)","Popularity","Movies in DB","Expected Min","Gap","Wikipedia URL","Filmography Page","TMDB URL","Status","Notes","Actor ID"
"11","Raasi","రాశి","95","28","50","22","https://en.wikipedia.org/wiki/Raasi_(actress)","https://en.wikipedia.org/wiki/Raasi_(actress)#Filmography","https://www.themoviedb.org/person/584128","NEEDS REVIEW","Actress disambiguation","d5a51be5-5070-48e1-9036-7086d875e496"
"12","Simran","సింరాన్","95","31","50","19","https://en.wikipedia.org/wiki/Simran_(actress)","https://en.wikipedia.org/wiki/Simran_filmography","https://www.themoviedb.org/person/141705","NEEDS REVIEW","Has standalone filmography","92bb4993-399d-4649-a695-fee27ec2ce55"
"13","V. Nagayya","వి. నాగయ్య","90","23","40","17","https://en.wikipedia.org/wiki/V._Nagayya","https://en.wikipedia.org/wiki/V._Nagayya#Filmography","https://www.themoviedb.org/person/1122103","NEEDS REVIEW","Filmography in main article","3290d460-ac14-4d6b-bd0b-bcdf611e68e5"
"14","Rajasekhar","రాజశేఖర్","95","33","50","17","https://en.wikipedia.org/wiki/Rajasekhar_(actor)","https://en.wikipedia.org/wiki/Rajasekhar_(actor)#Filmography","https://www.themoviedb.org/person/590744","NEEDS REVIEW","Actor disambiguation","9124d7c0-72fd-4f21-ab80-8a35fe1d2d83"
"15","Vikram","విక్రమ్","95","33","50","17","https://en.wikipedia.org/wiki/Vikram_(actor)","https://en.wikipedia.org/wiki/Vikram_filmography","https://www.themoviedb.org/person/93191","NEEDS REVIEW","Tamil actor with standalone","a19d62c4-0ba4-4793-a5ea-6fd666348882"
"16","Bhanumathi","భానుమతి","95","34","50","16","https://en.wikipedia.org/wiki/P._Bhanumathi","https://en.wikipedia.org/wiki/P._Bhanumathi#Filmography","https://www.themoviedb.org/person/1003965","NEEDS REVIEW","P. Bhanumathi Ramakrishna","b89cc71e-0cea-4446-ada4-ba6852e48f50"
"17","Sneha","స్నేహ","95","34","50","16","https://en.wikipedia.org/wiki/Sneha_(actress)","https://en.wikipedia.org/wiki/Sneha_filmography","https://www.themoviedb.org/person/141083","NEEDS REVIEW","Has standalone filmography","bd9e9bd1-6eba-40ea-a7ab-1eedebb46ba6"
"18","Prabhu Deva","ప్రభుదేవా","80","15","30","15","https://en.wikipedia.org/wiki/Prabhu_Deva","https://en.wikipedia.org/wiki/Prabhu_Deva_filmography","https://www.themoviedb.org/person/89154","NEEDS REVIEW","Multi-industry star","d0160109-2280-45cb-b612-75e8706e69ac"
"19","Shobana","శోభన","95","35","50","15","https://en.wikipedia.org/wiki/Shobana","https://en.wikipedia.org/wiki/Shobana_filmography","https://www.themoviedb.org/person/110298","NEEDS REVIEW","Has standalone filmography","48422519-3ad5-4979-bef9-ffa354e84473"
"20","Sumanth","సుమంత్","95","35","50","15","https://en.wikipedia.org/wiki/Sumanth","https://en.wikipedia.org/wiki/Sumanth#Filmography","https://www.themoviedb.org/person/436960","NEEDS REVIEW","Integrated filmography","248254e4-ff6a-4b36-b0d1-fbfc5f6f1bbf"
"21","Rambha","రంభ","94","26","40","14","https://en.wikipedia.org/wiki/Rambha_(actress)","https://en.wikipedia.org/wiki/Rambha_(actress)#Filmography","https://www.themoviedb.org/person/237709","NEEDS REVIEW","Actress disambiguation","f70643d8-158d-4cf4-97ee-43ec49f3647a"
"22","Sharada","శారద","95","36","50","14","https://en.wikipedia.org/wiki/Sharada_(actress)","https://en.wikipedia.org/wiki/Sharada_(actress)#Filmography","https://www.themoviedb.org/person/1151397","NEEDS REVIEW","Actress disambiguation","6466142a-6557-4489-bfd8-d354654fc3a2"
"23","Trisha","త్రిషా","95","37","50","13","https://en.wikipedia.org/wiki/Trisha_Krishnan","https://en.wikipedia.org/wiki/Trisha_Krishnan_filmography","https://www.themoviedb.org/person/5003173","NEEDS REVIEW","Same as Trisha Krishnan","add5a5e8-b134-40bc-ad2a-8b4bdae51ce8"
"24","Karthik","కార్తీక్","95","38","50","12","https://en.wikipedia.org/wiki/Karthik_(actor)","https://en.wikipedia.org/wiki/Karthik_(actor)#Filmography","https://www.themoviedb.org/person/2067890","NEEDS REVIEW","Actor disambiguation","3eb313ba-73b2-47ae-997e-1617cebcd95d"
"25","Anushka Shetty","అనుష్క శెట్టి","95","38","50","12","https://en.wikipedia.org/wiki/Anushka_Shetty","https://en.wikipedia.org/wiki/Anushka_Shetty_filmography","https://www.themoviedb.org/person/88167","NEEDS REVIEW","Standalone filmography","f8fbb90c-42f5-482f-8f35-127c92701517"
"26","Trisha Krishnan","త్రిషా","94","29","40","11","https://en.wikipedia.org/wiki/Trisha_Krishnan","https://en.wikipedia.org/wiki/Trisha_Krishnan_filmography","https://www.themoviedb.org/person/116925","NEEDS REVIEW","Primary name","a526cd38-7a84-44f6-b515-b9320484ad2e"
"27","Bhanupriya","భానుప్రియ","95","39","50","11","https://en.wikipedia.org/wiki/Bhanupriya","https://en.wikipedia.org/wiki/Bhanupriya_filmography","https://www.themoviedb.org/person/540530","NEEDS REVIEW","Standalone filmography","620b9295-b4a0-49a8-9472-44acf417063b"
"28","Suresh","సురేష్","95","39","50","11","https://en.wikipedia.org/wiki/Suresh_(Telugu_actor)","https://en.wikipedia.org/wiki/Suresh_(Telugu_actor)#Filmography","https://www.themoviedb.org/person/584479","NEEDS REVIEW","Telugu actor disambiguation","3120f3e2-b7ec-4ebd-b889-916d6fcf811d"
"29","Nani","నాని","95","39","50","11","https://en.wikipedia.org/wiki/Nani_(actor)","https://en.wikipedia.org/wiki/Nani_filmography","https://www.themoviedb.org/person/225387","NEEDS REVIEW","Actor disambiguation","efb3d1b5-e094-426c-9a3c-fcad85f7e5c7"
"30","Nayanthara","నయన తార","95","40","50","10","https://en.wikipedia.org/wiki/Nayanthara","https://en.wikipedia.org/wiki/Nayanthara_filmography","https://www.themoviedb.org/person/91548","NEEDS REVIEW","Multi-industry star","12b87c86-28ed-46bb-bf16-d5e274000982"
"31","Sarath Babu","శరత్ బాబు","88","22","30","8","https://en.wikipedia.org/wiki/Sarath_Babu","https://en.wikipedia.org/wiki/Sarath_Babu#Filmography","https://www.themoviedb.org/person/237629","NEEDS REVIEW","Integrated filmography","d9d8348b-6e2c-4545-a71d-1aa3db514b27"
"32","Prakash Raj","ప్రకాష్ రాజ్","82","22","30","8","https://en.wikipedia.org/wiki/Prakash_Raj","https://en.wikipedia.org/wiki/Prakash_Raj_filmography","https://www.themoviedb.org/person/89153","NEEDS REVIEW","Multi-industry actor","5cb5507f-b371-4eea-ac04-fc07f7429e1e"
"33","Rajani","రజని","82","22","30","8","https://en.wikipedia.org/wiki/Rajani_(actress)","https://en.wikipedia.org/wiki/Rajani_(actress)#Filmography","https://www.themoviedb.org/person/585094","NEEDS REVIEW","Actress disambiguation","c95c9f1e-f0dd-453c-b794-56f7d506b457"
"34","Madhavi","మాధవి","95","42","50","8","https://en.wikipedia.org/wiki/Madhavi_(actress)","https://en.wikipedia.org/wiki/Madhavi_(actress)#Filmography","https://www.themoviedb.org/person/117533","NEEDS REVIEW","Actress disambiguation","dc4de1c4-cf30-446f-bd52-cf0ba5db73b0"
"35","Chandra Mohan","చంద్ర మోహన్","95","42","50","8","https://en.wikipedia.org/wiki/Chandra_Mohan_(Telugu_actor)","https://en.wikipedia.org/wiki/Chandra_Mohan_(Telugu_actor)#Filmography","https://www.themoviedb.org/person/586627","NEEDS REVIEW","Telugu actor","7b4239ee-a744-4591-9b04-4e8609627e7b"
"36","Siddharth","సిద్ధార్థ్","95","42","50","8","https://en.wikipedia.org/wiki/Siddharth_(actor)","https://en.wikipedia.org/wiki/Siddharth_filmography","https://www.themoviedb.org/person/108216","NEEDS REVIEW","Multi-industry","ed8993d1-8fe9-4d55-9983-e604e9872e08"
"37","Jayalalitha","జయలలిత","90","33","40","7","https://en.wikipedia.org/wiki/Jayalalithaa","https://en.wikipedia.org/wiki/Jayalalithaa#Filmography","https://www.themoviedb.org/person/1123523","NEEDS REVIEW","Former CM & actress","3e18a500-ed87-4122-9fc4-7a54dce3bb82"
"38","Varun Sandesh","వరుణ్ సందేష్","82","23","30","7","https://en.wikipedia.org/wiki/Varun_Sandesh","https://en.wikipedia.org/wiki/Varun_Sandesh#Filmography","https://www.themoviedb.org/person/824710","NEEDS REVIEW","Integrated filmography","4212ef61-4791-4eba-a080-91c683c89bdd"
"39","Geetha","గీత","88","24","30","6","https://en.wikipedia.org/wiki/Geetha_(actress)","https://en.wikipedia.org/wiki/Geetha_(actress)#Filmography","https://www.themoviedb.org/person/237970","NEEDS REVIEW","Actress disambiguation","8080141d-96d1-4f39-8b78-602b5eb7c284"
"40","Kanchana","కాంచన","95","44","50","6","https://en.wikipedia.org/wiki/Kanchana_(actress)","https://en.wikipedia.org/wiki/Kanchana_(actress)#Filmography","https://www.themoviedb.org/person/1047330","NEEDS REVIEW","Actress disambiguation","bd844067-63a6-4ae3-947d-301fc42977fc"
"41","Ajay","అజయ్","95","44","50","6","https://en.wikipedia.org/wiki/Ajay_(Telugu_actor)","https://en.wikipedia.org/wiki/Ajay_(Telugu_actor)#Filmography","https://www.themoviedb.org/person/586625","NEEDS REVIEW","Telugu actor","d6e855cd-0052-4bbb-8edb-9474ef269a7d"
"42","Ramya Krishna","రమ్య కృష్ణన్","95","44","50","6","https://en.wikipedia.org/wiki/Ramya_Krishna","https://en.wikipedia.org/wiki/Ramya_Krishna_filmography","https://www.themoviedb.org/person/141701","NEEDS REVIEW","Has standalone","ed0400fb-23c3-4fc8-b945-afb6c51d8f03"
"43","Priyamani","ప్రియమణి","80","24","30","6","https://en.wikipedia.org/wiki/Priyamani","https://en.wikipedia.org/wiki/Priyamani_filmography","https://www.themoviedb.org/person/1107197","NEEDS REVIEW","Multi-industry","bf715203-0ea2-4e5b-b909-299f86c9110a"
"44","Amala","అమల","95","45","50","5","https://en.wikipedia.org/wiki/Amala_Akkineni","https://en.wikipedia.org/wiki/Amala_Akkineni#Filmography","https://www.themoviedb.org/person/223164","NEEDS REVIEW","Amala Akkineni","2cffc92c-3c92-4aca-9278-ecac6adc1d94"
"45","Latha","లత","95","45","50","5","https://en.wikipedia.org/wiki/Latha_(actress)","https://en.wikipedia.org/wiki/Latha_(actress)#Filmography","https://www.themoviedb.org/person/1692447","NEEDS REVIEW","Actress disambiguation","232289ed-c353-451a-b977-72d85042e629"
"46","Sukumar","సుకుమార్","95","45","50","5","https://en.wikipedia.org/wiki/Sukumar","https://en.wikipedia.org/wiki/Sukumar#Filmography","https://www.themoviedb.org/person/237051","NEEDS REVIEW","Director, minor acting","5bf29d5a-9e10-4ffd-99e7-7b1a3f652c02"
"47","Tarun","తరుణ్","95","45","50","5","https://en.wikipedia.org/wiki/Tarun_(actor)","https://en.wikipedia.org/wiki/Tarun_(actor)#Filmography","https://www.themoviedb.org/person/584669","NEEDS REVIEW","Actor disambiguation","1c934631-a35a-4a3f-9c38-a70a7964b130"
"48","Devika","దేవిక","80","25","30","5","https://en.wikipedia.org/wiki/Devika_(actress)","https://en.wikipedia.org/wiki/Devika_(actress)#Filmography","https://www.themoviedb.org/person/2031977","NEEDS REVIEW","Actress disambiguation","6072bc40-d9fc-486a-8a8b-e011e64f1f2e"
"49","Vishnu","విష్ణు","95","46","50","4","https://en.wikipedia.org/wiki/Vishnu_Manchu","https://en.wikipedia.org/wiki/Vishnu_Manchu#Filmography","https://www.themoviedb.org/person/1827571","NEEDS REVIEW","Vishnu Manchu","ae01e5b2-7220-48c6-b2f9-66d4c21be4ba"
"50","Suhasini","సుహాసిని","95","46","50","4","https://en.wikipedia.org/wiki/Suhasini_Maniratnam","https://en.wikipedia.org/wiki/Suhasini_Maniratnam_filmography","https://www.themoviedb.org/person/3130914","NEEDS REVIEW","Suhasini Maniratnam","5c7b187a-ced1-43a8-9a3b-c1a8585c35af"
"51","Pushpavalli","పుష్పవల్లి","86","26","30","4","https://en.wikipedia.org/wiki/Pushpavalli","https://en.wikipedia.org/wiki/Pushpavalli#Filmography","https://www.themoviedb.org/person/1137680","NEEDS REVIEW","Integrated","dd4a8fa9-5fb3-44dc-be60-cef4c8a18656"
"52","Nithiin","నితిన్","84","27","30","3","https://en.wikipedia.org/wiki/Nithiin","https://en.wikipedia.org/wiki/Nithiin_filmography","https://www.themoviedb.org/person/1001828","NEEDS REVIEW","Standalone","5947c4f5-1bd3-4227-af5a-cd136033df5b"
"53","Dulquer Salmaan","దుల్కర్ సల్మాన్","84","27","30","3","https://en.wikipedia.org/wiki/Dulquer_Salmaan","https://en.wikipedia.org/wiki/Dulquer_Salmaan_filmography","https://www.themoviedb.org/person/1115225","NEEDS REVIEW","Multi-industry","99d3418b-fd62-4780-bd11-a83335b93ed7"
"54","Kanta Rao","కాంతారావు","95","48","50","2","https://en.wikipedia.org/wiki/Kanta_Rao","https://en.wikipedia.org/wiki/Kanta_Rao#Filmography","https://www.themoviedb.org/person/1208884","NEEDS REVIEW","Veteran","441f3f10-b379-44e1-9891-e739fe6c0752"
"55","Jaggayya","జగ్గయ్య","86","28","30","2","https://en.wikipedia.org/wiki/Kongara_Jaggayya","https://en.wikipedia.org/wiki/Kongara_Jaggayya#Filmography","https://www.themoviedb.org/person/1335686","NEEDS REVIEW","Kongara Jaggayya","680ebff5-78e7-4aca-8815-374583bc9069"
"56","Mohan Babu","మోహన్ బాబు","95","49","50","1","https://en.wikipedia.org/wiki/Mohan_Babu","https://en.wikipedia.org/wiki/Mohan_Babu_filmography","https://www.themoviedb.org/person/585268","NEEDS REVIEW","Standalone","927cbc10-435f-44ba-bb85-83af82be4b9e"
"57","Shriya Saran","శ్రియా శరణ్","86","29","30","1","https://en.wikipedia.org/wiki/Shriya_Saran","https://en.wikipedia.org/wiki/Shriya_Saran_filmography","https://www.themoviedb.org/person/145628","NEEDS REVIEW","Multi-industry","eb36d961-e972-48a0-9466-0fb11af62df9"
"58","Vineeth","వినీత్","76","19","20","1","https://en.wikipedia.org/wiki/Vineeth","https://en.wikipedia.org/wiki/Vineeth_filmography","https://www.themoviedb.org/person/544988","NEEDS REVIEW","Malayalam actor","b0f8fb89-47b1-4311-a1fd-c863e4a268aa"
"59","Manjula","మంజుల","74","20","20","0","https://en.wikipedia.org/wiki/Manjula_Vijayakumar","https://en.wikipedia.org/wiki/Manjula_Vijayakumar#Filmography","https://www.themoviedb.org/person/4653073","OK","Manjula Vijayakumar","1741f482-6164-4a21-8346-a936ade8130f"
"60","Brahmanandam","బ్రహ్మానందం","95","60","50","0","https://en.wikipedia.org/wiki/Brahmanandam","https://en.wikipedia.org/wiki/Brahmanandam_filmography","https://www.themoviedb.org/person/113810","OK","Comedy legend","27cb5d8e-40a1-4f5d-847e-da4c3f3c0fc2"
"61","Suhas","సుహాస్","95","59","50","0","https://en.wikipedia.org/wiki/Suhas_(actor)","https://en.wikipedia.org/wiki/Suhas_(actor)#Filmography","https://www.themoviedb.org/person/2187317","OK","Actor disambiguation","9931d08c-55c1-41b0-b646-ed45d3ad7572"
"62","Sundeep Kishan","సందీప్ కిషన్","78","23","20","0","https://en.wikipedia.org/wiki/Sundeep_Kishan","https://en.wikipedia.org/wiki/Sundeep_Kishan_filmography","https://www.themoviedb.org/person/1011802","OK","Standalone","2218c54d-1652-4b90-810c-4794042930a5"
"63","Sumalatha","సుమలత","76","23","20","0","https://en.wikipedia.org/wiki/Sumalatha","https://en.wikipedia.org/wiki/Sumalatha_filmography","https://www.themoviedb.org/person/584683","OK","Standalone","b29159ae-4ff0-4d7f-812b-19374847fb7b"
"64","Sivaji","శివాజీ","95","63","50","0","https://en.wikipedia.org/wiki/Sivaji_(Telugu_actor)","https://en.wikipedia.org/wiki/Sivaji_(Telugu_actor)#Filmography","https://www.themoviedb.org/person/582183","OK","Telugu actor","72e1b4b8-2b29-4402-a2d6-6c06a68c7252"
"65","Sharwanand","శర్వానంద్","78","24","20","0","https://en.wikipedia.org/wiki/Sharwanand","https://en.wikipedia.org/wiki/Sharwanand_filmography","https://www.themoviedb.org/person/588007","OK","Standalone","5af1f65e-5e35-464a-b63f-f4e411623b5b"
"66","Meena","మీనా","95","67","50","0","https://en.wikipedia.org/wiki/Meena_(actress)","https://en.wikipedia.org/wiki/Meena_filmography","https://www.themoviedb.org/person/549602","OK","Multi-industry","b7a7c9a1-5fb6-4a89-9812-6f29e1be7ca6"
"67","Radha","రాధ","95","72","50","0","https://en.wikipedia.org/wiki/Radha_(actress)","https://en.wikipedia.org/wiki/Radha_filmography","https://www.themoviedb.org/person/1339622","OK","Standalone","4b95ca0d-2e27-44a2-bac8-124caca0513c"
"68","Daggubati Venkatesh","వెంకటేష్ దగ్గుబాటి","95","73","50","0","https://en.wikipedia.org/wiki/Venkatesh_(actor)","https://en.wikipedia.org/wiki/Venkatesh_filmography","https://www.themoviedb.org/person/88166","OK","Venkatesh Daggubati","ceb2c247-5c54-4283-959b-dc3f394d9c09"
"69","Krishna Kumari","కృష్ణకుమారి","95","75","50","0","https://en.wikipedia.org/wiki/Krishna_Kumari","https://en.wikipedia.org/wiki/Krishna_Kumari#Filmography","https://www.themoviedb.org/person/1465282","OK","Veteran actress","f7a572c4-8061-4dfe-9fdc-71d2c2a6fb17"
"70","Vijaya Nirmala","విజయనిర్మల","95","73","50","0","https://en.wikipedia.org/wiki/Vijaya_Nirmala","https://en.wikipedia.org/wiki/Vijaya_Nirmala_filmography","https://www.themoviedb.org/person/943089","OK","Actress & director","d5291f8f-e0c0-4263-99ad-5d7dc511cb28"
"71","Kamal Haasan","కమల్ హాసన్","95","79","50","0","https://en.wikipedia.org/wiki/Kamal_Haasan","https://en.wikipedia.org/wiki/Kamal_Haasan_filmography","https://www.themoviedb.org/person/93193","OK","Tamil legend","7890f100-d9c8-40d5-b8bf-25c17bb63c08"
"72","Akkineni Nagarjuna","అక్కినేని నాగార్జున","95","79","50","0","https://en.wikipedia.org/wiki/Nagarjuna_(actor)","https://en.wikipedia.org/wiki/Nagarjuna_(actor)#Filmography","https://www.themoviedb.org/person/149958","OK","Nagarjuna Akkineni","7ea66985-c6f8-4f52-a51b-1dc9fd3f184d"
"73","Ravi Teja","రవితేజ","95","78","50","0","https://en.wikipedia.org/wiki/Ravi_Teja","https://en.wikipedia.org/wiki/Ravi_Teja_filmography","https://www.themoviedb.org/person/146935","OK","Mass Maharaja","51ce4504-50d2-45bc-8eaa-1e67cea10812"
"74","Jamuna","జమునా","95","80","50","0","https://en.wikipedia.org/wiki/Jamuna_(actress)","https://en.wikipedia.org/wiki/Jamuna_(actress)#Filmography","https://www.themoviedb.org/person/1034831","OK","Veteran","4b60e07d-29d9-43bc-ac6c-7ca009490bba"
"75","Roja","రోజా","95","87","50","0","https://en.wikipedia.org/wiki/Roja_(actress)","https://en.wikipedia.org/wiki/Roja_filmography","https://www.themoviedb.org/person/1646659","OK","Actress & politician","2d16ec3e-c01f-4cb6-9da3-216db7bdfe1e"
"76","Rajinikanth","రజనీకాంత్","95","86","50","0","https://en.wikipedia.org/wiki/Rajinikanth","https://en.wikipedia.org/wiki/Rajinikanth_filmography","https://www.themoviedb.org/person/91555","OK","Superstar","b007a33c-642f-4f0c-95b1-82e578f63205"
"77","Anjali","అంజలి","95","97","50","0","https://en.wikipedia.org/wiki/Anjali_(actress)","https://en.wikipedia.org/wiki/Anjali_filmography","https://www.themoviedb.org/person/123068","OK","Actress disambiguation","705b822f-216f-486e-964f-24109b906846"
"78","Krishnam Raju","కృష్ణం రాజు","95","99","50","0","https://en.wikipedia.org/wiki/Krishnam_Raju","https://en.wikipedia.org/wiki/Krishnam_Raju_filmography","https://www.themoviedb.org/person/1335737","OK","Rebel Star","94ff24d8-d486-4f18-8f53-8c5e84ada8f1"
"79","Sobhan Babu","శోభన్ బాబు","95","103","50","0","https://en.wikipedia.org/wiki/Sobhan_Babu","https://en.wikipedia.org/wiki/Sobhan_Babu_filmography","https://www.themoviedb.org/person/1208885","OK","Legend","f63204ee-5d9a-40ed-a706-6edfd0620f84"
"80","Lakshmi","లక్ష్మి","95","108","50","0","https://en.wikipedia.org/wiki/Lakshmi_(actress)","https://en.wikipedia.org/wiki/Lakshmi_filmography","https://www.themoviedb.org/person/86015","OK","Multi-industry","f476c584-c5f2-415c-bb6a-9267e823870e"
"81","Nandamuri Balakrishna","నందమూరి బాలకృష్ణ","95","115","50","0","https://en.wikipedia.org/wiki/Nandamuri_Balakrishna","https://en.wikipedia.org/wiki/Nandamuri_Balakrishna_filmography","https://www.themoviedb.org/person/150529","OK","N. Balakrishna","3ad49413-6108-4a24-bd28-eda241ac7245"
"82","Allari Naresh","అల్లరి నరేష్","95","116","50","0","https://en.wikipedia.org/wiki/Allari_Naresh","https://en.wikipedia.org/wiki/Allari_Naresh_filmography","https://www.themoviedb.org/person/237993","OK","Comedy star","aa01e8d6-17e9-458d-9ca9-ea5519ba558c"
"83","Naresh","నరేష్","95","116","50","0","https://en.wikipedia.org/wiki/Naresh_(Telugu_actor)","https://en.wikipedia.org/wiki/Naresh_(Telugu_actor)#Filmography","https://www.themoviedb.org/person/736815","OK","Senior Naresh","fce9c855-cc88-46b9-a97f-1c792aa1c391"
"84","Suman","సుమన్","95","124","50","0","https://en.wikipedia.org/wiki/Suman_(Telugu_actor)","https://en.wikipedia.org/wiki/Suman_(Telugu_actor)#Filmography","https://www.themoviedb.org/person/1201818","OK","Telugu actor","2498ba80-af97-4cfd-8e03-d031d6b87191"
"85","Jayasudha","జయసుధ","95","132","50","0","https://en.wikipedia.org/wiki/Jayasudha","https://en.wikipedia.org/wiki/Jayasudha_filmography","https://www.themoviedb.org/person/584418","OK","Veteran actress","eb1d793d-149d-4bb9-ab9f-79a5da01d892"
"86","Chiranjeevi","చిరంజీవి","95","138","50","0","https://en.wikipedia.org/wiki/Chiranjeevi","https://en.wikipedia.org/wiki/Chiranjeevi_filmography","https://www.themoviedb.org/person/147079","OK","Megastar","fba63e11-4734-4978-9b91-dbc283e44e97"
"87","Arjun","అర్జున్","95","146","50","0","https://en.wikipedia.org/wiki/Arjun_Sarja","https://en.wikipedia.org/wiki/Arjun_Sarja_filmography","https://www.themoviedb.org/person/1046675","OK","Arjun Sarja","2f114413-4da7-4620-8268-131f25ccc599"
"88","Rajendra Prasad","రాజేంద్ర ప్రసాద్","95","153","50","0","https://en.wikipedia.org/wiki/Rajendra_Prasad_(actor)","https://en.wikipedia.org/wiki/Rajendra_Prasad_filmography","https://www.themoviedb.org/person/545595","OK","Comedy legend","bdd4f448-1c3c-4ced-9641-c80c76de6009"
"89","Srikanth","ஸ்ரீகாந்த்","95","158","50","0","https://en.wikipedia.org/wiki/Meka_Srikanth","https://en.wikipedia.org/wiki/Meka_Srikanth_filmography","https://www.themoviedb.org/person/581891","OK","Meka Srikanth (Telugu)","d5045b23-8427-4866-a2be-55743c370b54"
"90","Jaya Prada","జయప్రద","95","172","50","0","https://en.wikipedia.org/wiki/Jaya_Prada","https://en.wikipedia.org/wiki/Jaya_Prada_filmography","https://www.themoviedb.org/person/238016","OK","Multi-industry","9144620f-4abd-4ba6-a713-494ea336cf76"
"91","Sridevi","శ్రీదేవి","95","182","50","0","https://en.wikipedia.org/wiki/Sridevi","https://en.wikipedia.org/wiki/Sridevi_filmography","https://www.themoviedb.org/person/109549","OK","Legend","ded26c27-8ac9-4b1c-8c4d-b47af81f285a"
"92","Shruti Haasan","శ్రుతి హాసన్","88","109","30","0","https://en.wikipedia.org/wiki/Shruti_Haasan","https://en.wikipedia.org/wiki/Shruti_Haasan_filmography","https://www.themoviedb.org/person/85883","OK","Multi-industry","3798c3c6-cfcc-464f-823b-9bd756403112"
"93","Raja","రాజా","95","197","50","0","https://en.wikipedia.org/wiki/Raja_Abel","https://en.wikipedia.org/wiki/Raja_Abel#Filmography","https://www.themoviedb.org/person/584868","OK","Raja Abel","98e1d48e-717c-44ff-beda-210a6ccfe700"
"94","Anjali Devi","అంజలిదేవి","95","322","50","0","https://en.wikipedia.org/wiki/Anjali_Devi","https://en.wikipedia.org/wiki/Anjali_Devi_filmography","https://www.themoviedb.org/person/581669","OK","Veteran legend","130a4f9c-be79-4127-b5f9-1893d86fd243"
"95","Ali","ఆలీ","95","335","50","0","https://en.wikipedia.org/wiki/Ali_(actor)","https://en.wikipedia.org/wiki/Ali_filmography","https://www.themoviedb.org/person/4986428","OK","Comedy actor","4287391f-f22b-454d-9d04-f41951af6cfe"
