type,slug,title,year,field,before,after,status,note
"MUSIC_DUO_REVIEW","swetha-naagu-2004","Swetha Naagu",2004,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","sarabha-2018","Sarabha",2018,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","premante-inte-2006","Premante Inte",2006,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","classmates-2007","Classmates",2007,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","preminchukunnam-pelliki-randi-2004","Preminchukunnam Pelliki Randi",2004,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","gopi-goda-meedha-pilli-2006","Gopi – Goda Meedha Pilli",2006,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","maa-bapu-bommaku-pellanta-2003","Maa Bapu Bommaku Pellanta",2003,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","kshetram-2011","Kshetram",2011,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","nuvvu-naaku-nachav-2001","Nuvvu Naaku Nachav",2001,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","pilla-nachindi-1999","Pilla Nachindi",1999,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","alasyam-amrutham-2010","Alasyam Amrutham",2010,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","veedevadandi-babu-1997","Veedevadandi Babu",1997,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","abbayi-gari-pelli-1997","Abbayi Gari Pelli",1997,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","maa-nannaku-pelli-1997","Maa Nannaku Pelli",1997,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","hai-2002","Hai",2002,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","gokulamlo-seetha-1997","Gokulamlo Seetha",1997,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","taraka-ramudu-1997","Taraka Ramudu",1997,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","sankalpam-1995","Sankalpam",1995,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","mrugam-1996","Mrugam",1996,"music_director","Raj","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","chilakapachcha-kaapuram-1995","Chilakapachcha Kaapuram",1995,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","alluda-majaka-1995","Alluda Majaka",1995,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","ketu-duplicatu-1995","Ketu Duplicatu",1995,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","nuvvante-naakishtam-2005","Nuvvante Naakishtam",2005,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","yamajathakudu-1999","Yamajathakudu",1999,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","vijayam-2003","Vijayam",2003,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","kathi-kanta-rao-2010","Kathi Kanta Rao",2010,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","buridi-2010","Buridi",2010,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","evadi-gola-vadide-2005","Evadi Gola Vadide",2005,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","varasudu-1993","Varasudu",1993,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","chevilo-puvvu-1990","Chevilo Puvvu",1990,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","blade-babji-2008","Blade Babji",2008,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","hitler-1997","Hitler",1997,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","prema-ishq-kaadhal-2013","Prema ishq kaadhal",2013,"music_director","Shravan","Nadeem-Shravan","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","jai-sena-2021","Jai Sena",2021,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","kalisi-naduddam-2001","Kalisi Naduddam",2001,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","pape-naa-pranam-1998","Pape Naa Pranam",1998,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","maga-rayudu-1994","Maga Rayudu",1994,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","manasichi-choodu-1998","Manasichi Choodu",1998,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","prathista-1998","Prathista",1998,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","onamalu-2012","Onamalu",2012,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","adavi-dora-1995","Adavi Dora",1995,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","bendu-apparao-r-m-p-2009","Bendu Apparao R.M.P",2009,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","sisindri-1995","Sisindri",1995,"music_director","Raj","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","athili-sathibabu-lkg-2007","Athili Sathibabu LKG",2007,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","sultan-1999","Sultan",1999,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","seetharatnam-gari-abbayi-1992","Seetharatnam Gari Abbayi",1992,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","shyam-prasad-2006","Shyam Prasad",2006,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","maavidaakulu-1998","Maavidaakulu",1998,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","neetho-cheppalani-2002","Neetho Cheppalani",2002,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","adhipathi-2001","Adhipathi",2001,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","mantra-2007","Mantra",2007,"music_director","Anand","Anand-Milind","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","alibaba-aradajanu-dongalu-1993","Alibaba Aradajanu Dongalu",1993,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","moodu-puvulu-aaru-kayalu-2018","Moodu Puvulu Aaru Kayalu",2018,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","durga-2000","Durga",2000,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","ammo-polisollu-1999","Ammo Polisollu",1999,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","comedy-express-2010","Comedy Express",2010,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","nayakudu-2005","Nayakudu",2005,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","meeku-meere-maaku-meeme-2016","Meeku Meere Maaku Meeme",2016,"music_director","Shravan","Nadeem-Shravan","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","eshwar-alla-1998","Eshwar Alla",1998,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","raaj-2011","Raaj",2011,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","priya-o-priya-1997","Priya O Priya",1997,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","nuvvante-nakishtam-2005","Nuvvante Nakishtam",2005,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","alias-janaki-2013","Alias Janaki",2013,"music_director","Shravan","Nadeem-Shravan","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","thank-you-subba-rao-2001","Thank You Subba Rao",2001,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","ela-cheppanu-2003","Ela Cheppanu",2003,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","mr-errababu-2005","Mr. Errababu",2005,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","chinni-chinni-aasa-1999","Chinni Chinni Aasa",2013,"music_director","Raj","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","snehithulu-1998","Snehithulu",1998,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","brahmi-gadi-katha-2011","Brahmi Gadi Katha",2011,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","aayanaki-iddaru-1995","Aayanaki Iddaru",1995,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","sivayya-1998","Sivayya",1998,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","nuvve-kavali-2000","Nuvve Kavali",2000,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","kanyadanam-1998","Kanyadanam",1998,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","rikshavodu-1995","Rikshavodu",1995,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
"MUSIC_DUO_REVIEW","veedekkadi-mogudandi-2001","Veedekkadi Mogudandi?",2001,"music_director","Koti","Raj-Koti","PENDING_REVIEW","⚠️  VERIFY: May be correct as single name or should be duo"
