Priority,ID,Title,Year,Hero,Director,Rating,Has Poster,Synopsis (first 100),Missing Data,Action Needed
📝 RATING,"37e0ce5f-6a3d-427a-a009-77bbdc75b789","Sharada",1973,"M G Soman","K G Rajasekharan",,YES,"","rating","Add rating then publish"
📝 RATING,"03675861-2837-49a1-aedb-24cd1dfbe391","Bharatha Vilas",1973,"Sivaji Ganesan","A. C. Tirulokchandar",,NO,"A 1973 Telugu film directed by A. C. Tirulokchandar.","rating, poster","Add rating then publish"
📝 RATING,"186f8797-47ae-42cd-a97c-c6788996fd6e","Agathiyar",1972,"Gemini Ganesan","A. P. Nagarajan",,NO,"A 1972 Telugu film directed by A. P. Nagarajan.","rating, poster","Add rating then publish"
📝 RATING,"034537e3-d2d8-48db-a0ac-8f1615357634","Kanimuthu Paappa",1972,"Jaishankar","S. P. Muthuraman",,NO,"A 1972 Telugu film directed by S. P. Muthuraman.","rating, poster","Add rating then publish"
📝 RATING,"25f82db4-34b8-48a8-ba9d-bfa0e841a394","Sange Muzhangu",1972,"M. G. Ramachandran","P. Neelakantan",,YES,"A 1972 Telugu film directed by P. Neelakantan.","rating","Add rating then publish"
📝 RATING,"c8aac18d-6c0b-4d9c-90aa-6d1e2422bf87","Kannan Karunai",1971,"N. T. Rama Rao","N.T. Rama Rao",,YES,"A 1971 Telugu film directed by N.T. Rama Rao starring N.T. Rama Rao.","rating","Add rating then publish"
📝 RATING,"f9538b63-e013-4c43-b1e7-9e005d04895a","Adi Parasakthi",1971,"Gemini Ganesan","K. S. Gopalakrishnan",,YES,"A 1971 Telugu film directed by K. S. Gopalakrishnan.","rating","Add rating then publish"
📝 RATING,"5ab42f8c-f304-4fb5-a0bf-bb63f4f31ead","Babu",1971,"Sivaji Ganesan","A. C. Tirulokchandar",,YES,"A 1971 Telugu film directed by A. C. Tirulokchandar.","rating","Add rating then publish"
📝 RATING,"9e112fab-e469-494a-bd81-64c32e227647","Kalyana Mandapam",1971,"Kiran Abbavaram","Sridhar Gade",,NO,"","rating, poster","Add rating then publish"
📝 RATING,"7242ab06-beda-4f70-a294-59f7726dfc9f","En Annan",1970,"M. G. Ramachandran","P. Neelakantan",,YES,"A 1970 Telugu film directed by P. Neelakantan.","rating","Add rating then publish"
📝 RATING,"e1a98c66-eead-4c82-bba9-d3227a7277f3","Penn Daivam",1970,"Jaishankar","M. A. Thirumugam",,YES,"A 1970 Telugu film directed by M. A. Thirumugam.","rating","Add rating then publish"
📝 RATING,"d6e940a3-3f57-4e93-96bb-a560c769fdd1","Swapnangal",1970,"Madhu","P Subramaniam",,NO,"A 1970 Telugu film directed by P Subramaniam.","rating, poster","Add rating then publish"
📝 RATING,"7424573d-49a1-436d-820b-3091c7c48fc3","Kulavilakku",1969,"Gemini Ganesan","K. S. Gopalakrishnan",,YES,"A 1969 Telugu film directed by K. S. Gopalakrishnan.","rating","Add rating then publish"
📝 RATING,"af098222-07d1-40dd-8890-d1846af31cd3","Kumara Sambhavam",1969,"Gemini Ganesan","P Subramaniam",,YES,"A 1969 Telugu film directed by P Subramaniam starring Sridevi.","rating","Add rating then publish"
📝 RATING,"d7d83702-b1a1-493e-b3c6-fe0ebc6da979","Nam Naadu",1969,"MGR","Jambulingam",,YES,"A 1969 Telugu film directed by Jambulingam.","rating","Add rating then publish"
📝 RATING,"b7d08456-0a91-4a92-acf8-60bb4b33a63c","Varakatnam",1968,"N. T. Rama Rao","N.T. Rama Rao",,NO,"","rating, poster","Add rating then publish"
📝 RATING,"6bb9ee24-bd83-43f9-a6f9-31348cc85ca5","Kandhan Karunai",1967,"Sivaji Ganesan","A. P. Nagarajan",,YES,"A 1967 Telugu film directed by A. P. Nagarajan.","rating","Add rating then publish"
📝 RATING,"79002c52-edcc-4d95-b4d2-1c15f0432806","Thiruvilayadal",1965,"Sivaji Ganesan","A. P. Nagarajan",,YES,"A 1965 Telugu film directed by A. P. Nagarajan.","rating","Add rating then publish"
📝 RATING,"b517ecd9-ed4c-4aa0-93db-b9273e4d08b7","Bangaru Panjaram",1965,"Sobhan Babu","B.N. Reddi",,YES,"","rating","Add rating then publish"
📝 RATING,"c14c944e-e9d6-4265-88e0-2e6510f1fe25","Mooga Manasulu",1964,"Akkineni Nageswara Rao","Adurthi Subba Rao",,YES,"","rating","Add rating then publish"
📝 RATING,"02e703b0-1edb-4af0-aedc-d1235bcc7f1b","Apne Huye Paraye",1964,"Manoj Kumar","Ajit Chakrabarty",,YES,"A 1964 Telugu film directed by Ajit Chakrabarty.","rating","Add rating then publish"
📝 RATING,"6ab3ecad-bb95-4f5d-adef-b0e1c0cbb25f","Karpagam",1963,"Gemini Ganesan","K. S. Gopalakrishnan",,YES,"A 1963 Telugu film directed by K. S. Gopalakrishnan.","rating","Add rating then publish"
📝 RATING,"6e9d0c29-3a2a-40e1-bca6-c30779c5a402","Nartanasala",1962,"N. T. Rama Rao","Kamalakara Kameshwara Rao",,YES,"","rating","Add rating then publish"
📝 RATING,"794250d0-96e1-4aee-8de3-ce805a0886c2","Pava Mannippu",1961,"Sivaji Ganesan","A. Bhimsingh",,NO,"A 1961 Telugu film directed by A. Bhimsingh.","rating, poster","Add rating then publish"
📝 RATING,"c873ef3f-bdd5-43b1-a4c2-71714e371faf","Manithan Maravillai",1961,"Gemini Ganesan","M. G. Chakrapani",,NO,"A 1961 Telugu film directed by M. G. Chakrapani.","rating, poster","Add rating then publish"
📝 RATING,"db3501ba-de8d-49cb-a6fc-0304f62512a9","Pasamalar",1961,"Sivaji Ganesan","A. Bhimsingh",,YES,"A 1961 Telugu film directed by A. Bhimsingh.","rating","Add rating then publish"
📝 RATING,"c4b66da4-5845-4dfe-b4e9-293a69a0c1b1","Kalyana Parisu",1959,"Gemini Ganesan","C. V. Sridhar",,YES,"A 1959 Telugu film directed by C. V. Sridhar.","rating","Add rating then publish"
📝 RATING,"500fcf82-76ca-4a65-99a9-89da8e605c60","Shanti",1952,"Jorge Mistral","Arturo Ruiz Castillo",,NO,"","rating, poster","Add rating then publish"
🔧 SKIP,"9b7b604c-6907-4c79-bd7f-dd22d1a3f974","Devara: Part 2",2026,"N. T. Rama Rao Jr.","Koratala Siva",7.5,YES,"The high-octane sequel explores the power struggles within the coastal town following the events of ","","Unreleased film - update but do not publish"
🔧 SKIP,"043bb7f8-1808-417b-9655-4d1fd3b01b4d","Salaar: Part 2 – Shouryanga Parvam",2026,"Prabhas","Prashanth Neel",,YES,"The sequel to Ceasefire, exploring the deep-rooted rivalry and history of the Khansaar empire.","rating","Unreleased film - update but do not publish"
🔧 MANUAL,"340635c8-f4a4-410e-aa3f-ed1ba3f314f3","Jayammu Nischayammu Raa",2016,"Srinivasa Reddy","Shiva Raj Kanumuri",7,YES,"A simple man leaves his home and mother to pursue a career and love, believing a girl is his lucky c","","Has index error - needs SQL publish"
