Movie ID,Title,Fix Type,Status,Message,Old Value,New Value
ea8c7a5b-c303-4233-8c92-2ff664b7303f,"Anumana Pakshi",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
ea8c7a5b-c303-4233-8c92-2ff664b7303f,"Anumana Pakshi",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
478902c9-5e7d-4d66-8b1b-1a660afc616f,"Sambarala Yetti Gattu",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
478902c9-5e7d-4d66-8b1b-1a660afc616f,"Sambarala Yetti Gattu",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
8e786a19-ecf6-44ef-974e-e884b386f9ad,"Haindava",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
8e786a19-ecf6-44ef-974e-e884b386f9ad,"Haindava",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
9f9c3808-a7cc-4f7d-ab7c-39f5848907de,"ENE Repeat",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
9f9c3808-a7cc-4f7d-ab7c-39f5848907de,"ENE Repeat",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
c3b46098-a11b-483a-8bb8-c51df5765eb6,"Peddarikam",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
c3b46098-a11b-483a-8bb8-c51df5765eb6,"Peddarikam",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
3ff67cd3-d93a-4537-a19a-f59251a1601e,"Vrushakarma",missing_year,fixed,"Set default year 2026 for unreleased movie","null","2026"
3ff67cd3-d93a-4537-a19a-f59251a1601e,"Vrushakarma",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
2e67a8ec-d67c-4d31-981d-6e93d130e289,"Baahubali: the Eternal War - Part 1",missing_ratings,skipped,"Unreleased movie - ratings not applicable","null","null"
72f9afc4-80ad-492d-a4ab-ccfe556ac936,"Kalki 2898-AD: Part 2",missing_ratings,skipped,"Unreleased movie - ratings not applicable","null","null"
9b7b604c-6907-4c79-bd7f-dd22d1a3f974,"Devara: Part 2",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
1250a707-9ca0-4b53-91e8-dc7dba4644f3,"Fauji",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
bb4d0170-7d8a-4e31-9294-bef20df5563c,"As Time Echoes",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
de1dd4a1-24a9-40af-8619-eed0a46b5512,"Goodachari 2",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
097f2c9a-abd1-4e44-920d-66d7a3223dfa,"Sahakutumbaanaam",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
a8f83850-7d20-4fae-96ce-c79fadff6073,"Spirit",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
a8f83850-7d20-4fae-96ce-c79fadff6073,"Spirit",slug_format,fixed,"Fixed slug to include year","spirit","spirit-2026"
043bb7f8-1808-417b-9655-4d1fd3b01b4d,"Salaar: Part 2 – Shouryanga Parvam",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
043bb7f8-1808-417b-9655-4d1fd3b01b4d,"Salaar: Part 2 – Shouryanga Parvam",slug_format,fixed,"Fixed slug to include year","salaar-part-2-shouryanga-parvam-2023","salaar-part-2-shouryanga-parvam-2026"
16903466-e6f6-46ff-9d24-f7a2f136871c,"Dragon",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
c21c6dfa-f0ce-4cae-966c-328f04980e07,"Om Shanti Shanti Shantihi",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
66506bb7-7fca-4efa-8ade-4390d134a292,"Ustaad Bhagat Singh",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
5840de84-5312-4692-b58d-0968f722b4ef,"Dacoit",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
19b0b6c1-8d9a-4b52-bd5b-1311969b76d0,"Peddi",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
9c2982d1-29e1-43f1-b6dc-00d7e9b7c889,"Nagabandham",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
493bd6c9-f290-46fe-932e-bf0af4d41eaf,"Aakasam Lo Oka Tara",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
42fb455f-0652-4b60-9f35-5cbc0fdc2f74,"Guard: Revenge for Love",year_date_mismatch,fixed,"Aligned release_year with release_date (2025 → 2024)","2025","2024"
0dc041e2-92cc-4311-8c8e-170204298d94,"Euphoria",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
8792dce3-2f1e-400d-86a7-1f43a46844e6,"F1",suspicious_title,skipped,"Short title - verify if correct","F1","F1"
5f4d9c51-1e09-4009-9619-aa368c3620e1,"G.D.N (Biopic of G.D. Naidu)",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
9a788ea5-670b-4391-bd86-d42245d8e683,"Salaar: Part 2 - Shouryaanga Parvam",year_date_mismatch,fixed,"Aligned release_year with release_date (2025 → 2026)","2025","2026"
9a788ea5-670b-4391-bd86-d42245d8e683,"Salaar: Part 2 - Shouryaanga Parvam",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
9a788ea5-670b-4391-bd86-d42245d8e683,"Salaar: Part 2 - Shouryaanga Parvam",slug_format,fixed,"Fixed slug to include year","salaar-part-2-shouryaanga-parvam","salaar-part-2-shouryaanga-parvam-2025"
27c2e806-ab67-4458-a9be-a1efab1c8082,"Mirai",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
2526bbf3-a8c0-4df8-9c26-67e54e88ee82,"Sahaa",missing_synopsis,skipped,"Missing synopsis - needs manual review","0",">= 50 characters"
90b5d473-918b-4b28-890d-60ac4ed76174,"Band Melam",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
0438cb34-c8e5-4207-af95-3ca8b53f0640,"Ui",suspicious_title,skipped,"Short title - verify if correct","Ui","Ui"
927b9c0d-7c4f-4090-b616-c542b898aba7,"Antham Kadidi Aarambam",slug_format,fixed,"Fixed slug to include year","antham-kadidi-aarambam-1981","antham-kadidi-aarambam-2023"
412e4b1d-c091-4732-8584-3c1a4e74b0e8,"Kousalya Supraja Rama",slug_format,fixed,"Fixed slug to include year","kousalya-supraja-rama-2008","kousalya-supraja-rama-2023"
a34582fd-a861-45ab-8b5f-4190d6296bba,"Umapathi",missing_ratings,skipped,"Released movie missing ratings - needs manual review","null","null"
6033a2e0-285e-43b9-88cb-0397a54284d0,"Monster",missing_synopsis,skipped,"Missing synopsis - needs manual review","38",">= 50 characters"
301bdc40-ef6c-47f3-b2a7-65c57b4c128f,"3e",suspicious_title,skipped,"Short title - verify if correct","3e","3e"
4576fe1c-6263-40a7-a093-eb76eb120865,"Maha",missing_synopsis,skipped,"Missing synopsis - needs manual review","43",">= 50 characters"
2645d8a8-f97b-422f-8d9c-eae1b59bbe80,"RRR",slug_format,fixed,"Fixed slug to include year","rrr","rrr-2022"
d097e594-ee10-4c0b-9fbd-a28925935a4f,"83",suspicious_title,skipped,"Short title - verify if correct","83","83"
